method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,3092164
seq,4,2e16,light,134421
seq,4,2e20,heavy,42959427
seq,4,2e20,light,2263182
seq,8,2e16,heavy,2649205
seq,8,2e16,light,119433
seq,8,2e20,heavy,40846062
seq,8,2e20,light,2137369
seq,16,2e16,heavy,2567820
seq,16,2e16,light,116363
seq,16,2e20,heavy,40280154
seq,16,2e20,light,2096856
seq,20,2e16,heavy,2540645
seq,20,2e16,light,111352
seq,20,2e20,heavy,39419904
seq,20,2e20,light,2080459
seq,24,2e16,heavy,2548874
seq,24,2e16,light,111762
seq,24,2e20,heavy,39304249
seq,24,2e20,light,2074486
seq,28,2e16,heavy,2517492
seq,28,2e16,light,111640
seq,28,2e20,heavy,39005349
seq,28,2e20,light,2092226
seq,32,2e16,heavy,2520260
seq,32,2e16,light,110495
seq,32,2e20,heavy,38845129
seq,32,2e20,light,2065781
rayon,4,2e16,heavy,789790
rayon,4,2e16,light,328551
rayon,4,2e20,heavy,11266051
rayon,4,2e20,light,4174207
rayon,8,2e16,heavy,817161
rayon,8,2e16,light,370617
rayon,8,2e20,heavy,7494243
rayon,8,2e20,light,2780887
rayon,16,2e16,heavy,2650767
rayon,16,2e16,light,3039663
rayon,16,2e20,heavy,7270535
rayon,16,2e20,light,2127194
rayon,20,2e16,heavy,4767924
rayon,20,2e16,light,4742472
rayon,20,2e20,heavy,7491677
rayon,20,2e20,light,2343055
rayon,24,2e16,heavy,6967089
rayon,24,2e16,light,7247190
rayon,24,2e20,heavy,7758832
rayon,24,2e20,light,2846191
rayon,28,2e16,heavy,8834713
rayon,28,2e16,light,10347561
rayon,28,2e20,heavy,8919065
rayon,28,2e20,light,3563246
rayon,32,2e16,heavy,10882398
rayon,32,2e16,light,11676266
rayon,32,2e20,heavy,12249448
rayon,32,2e20,light,2857410
orx-once,4,2e16,heavy,1133090
orx-once,4,2e16,light,263337
orx-once,4,2e20,heavy,14130957
orx-once,4,2e20,light,1014354
orx-once,8,2e16,heavy,869792
orx-once,8,2e16,light,393709
orx-once,8,2e20,heavy,9199428
orx-once,8,2e20,light,1160805
orx-once,16,2e16,heavy,1324113
orx-once,16,2e16,light,826166
orx-once,16,2e20,heavy,7395301
orx-once,16,2e20,light,1608980
orx-once,20,2e16,heavy,1695094
orx-once,20,2e16,light,1048554
orx-once,20,2e20,heavy,7367273
orx-once,20,2e20,light,2182776
orx-once,24,2e16,heavy,2040925
orx-once,24,2e16,light,1278450
orx-once,24,2e20,heavy,7420310
orx-once,24,2e20,light,2385878
orx-once,28,2e16,heavy,2269029
orx-once,28,2e16,light,1526117
orx-once,28,2e20,heavy,8142004
orx-once,28,2e20,light,2500780
orx-once,32,2e16,heavy,2491545
orx-once,32,2e16,light,1743898
orx-once,32,2e20,heavy,9177791
orx-once,32,2e20,light,3020423
orx-basic,4,2e16,heavy,853412
orx-basic,4,2e16,light,139010
orx-basic,4,2e20,heavy,12023306
orx-basic,4,2e20,light,1043408
orx-basic,8,2e16,heavy,517095
orx-basic,8,2e16,light,129302
orx-basic,8,2e20,heavy,7949890
orx-basic,8,2e20,light,718690
orx-basic,16,2e16,heavy,525718
orx-basic,16,2e16,light,252471
orx-basic,16,2e20,heavy,6498208
orx-basic,16,2e20,light,678086
orx-basic,20,2e16,heavy,583439
orx-basic,20,2e16,light,345273
orx-basic,20,2e20,heavy,6307197
orx-basic,20,2e20,light,1315076
orx-basic,24,2e16,heavy,617834
orx-basic,24,2e16,light,412200
orx-basic,24,2e20,heavy,6493440
orx-basic,24,2e20,light,1334861
orx-basic,28,2e16,heavy,693727
orx-basic,28,2e16,light,484737
orx-basic,28,2e20,heavy,7046484
orx-basic,28,2e20,light,1258548
orx-basic,32,2e16,heavy,709988
orx-basic,32,2e16,light,534973
orx-basic,32,2e20,heavy,8277983
orx-basic,32,2e20,light,1136239
orx-rayon,4,2e16,heavy,915407
orx-rayon,4,2e16,light,184265
orx-rayon,4,2e20,heavy,12328007
orx-rayon,4,2e20,light,1272274
orx-rayon,8,2e16,heavy,694037
orx-rayon,8,2e16,light,331800
orx-rayon,8,2e20,heavy,8502854
orx-rayon,8,2e20,light,1253715
orx-rayon,16,2e16,heavy,1009064
orx-rayon,16,2e16,light,831319
orx-rayon,16,2e20,heavy,7498757
orx-rayon,16,2e20,light,1441234
orx-rayon,20,2e16,heavy,1302608
orx-rayon,20,2e16,light,1076512
orx-rayon,20,2e20,heavy,7587991
orx-rayon,20,2e20,light,1921071
orx-rayon,24,2e16,heavy,1630869
orx-rayon,24,2e16,light,1395494
orx-rayon,24,2e20,heavy,7819284
orx-rayon,24,2e20,light,2187446
orx-rayon,28,2e16,heavy,1985870
orx-rayon,28,2e16,light,1679259
orx-rayon,28,2e20,heavy,8245641
orx-rayon,28,2e20,light,2321172
orx-rayon,32,2e16,heavy,2165007
orx-rayon,32,2e16,light,1858640
orx-rayon,32,2e20,heavy,10658891
orx-rayon,32,2e20,light,2669462
