t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,early,light,seq,97
2,1,2,2e20,early,light,rayon-1,71211
3,1,3,2e20,early,light,orx-1,105
4,1,4,2e20,early,light,orx-fixed-1,106
5,1,5,2e20,early,light,rayon-4,276641
6,1,6,2e20,early,light,orx-4,149815
7,1,7,2e20,early,light,orx-fixed-4,135745
8,1,8,2e20,early,light,rayon-16,1677097
9,1,9,2e20,early,light,orx-16,540359
10,1,10,2e20,early,light,orx-fixed-16,516588
11,2,1,2e20,mid,light,seq,177341
12,2,2,2e20,mid,light,rayon-1,349022
13,2,3,2e20,mid,light,orx-1,184785
14,2,4,2e20,mid,light,orx-fixed-1,178526
15,2,5,2e20,mid,light,rayon-4,401965
16,2,6,2e20,mid,light,orx-4,304889
17,2,7,2e20,mid,light,orx-fixed-4,263833
18,2,8,2e20,mid,light,rayon-16,6190239
19,2,9,2e20,mid,light,orx-16,1019889
20,2,10,2e20,mid,light,orx-fixed-16,971701
21,3,1,2e20,late,light,seq,370627
22,3,2,2e20,late,light,rayon-1,632655
23,3,3,2e20,late,light,orx-1,383216
24,3,4,2e20,late,light,orx-fixed-1,375532
25,3,5,2e20,late,light,rayon-4,527657
26,3,6,2e20,late,light,orx-4,362406
27,3,7,2e20,late,light,orx-fixed-4,318492
28,3,8,2e20,late,light,rayon-16,6614397
29,3,9,2e20,late,light,orx-16,1172914
30,3,10,2e20,late,light,orx-fixed-16,1084931
31,4,1,2e20,early,heavy,seq,6484
32,4,2,2e20,early,heavy,rayon-1,76610
33,4,3,2e20,early,heavy,orx-1,6342
34,4,4,2e20,early,heavy,orx-fixed-1,5999
35,4,5,2e20,early,heavy,rayon-4,298620
36,4,6,2e20,early,heavy,orx-4,156033
37,4,7,2e20,early,heavy,orx-fixed-4,140203
38,4,8,2e20,early,heavy,rayon-16,1709537
39,4,9,2e20,early,heavy,orx-16,702403
40,4,10,2e20,early,heavy,orx-fixed-16,515958
41,5,1,2e20,mid,heavy,seq,19624090
42,5,2,2e20,mid,heavy,rayon-1,18388387
43,5,3,2e20,mid,heavy,orx-1,18631805
44,5,4,2e20,mid,heavy,orx-fixed-1,17663699
45,5,5,2e20,mid,heavy,rayon-4,5680905
46,5,6,2e20,mid,heavy,orx-4,5480655
47,5,7,2e20,mid,heavy,orx-fixed-4,5642748
48,5,8,2e20,mid,heavy,rayon-16,5455905
49,5,9,2e20,mid,heavy,orx-16,3247984
50,5,10,2e20,mid,heavy,orx-fixed-16,3508252
51,6,1,2e20,late,heavy,seq,40068634
52,6,2,2e20,late,heavy,rayon-1,36930159
53,6,3,2e20,late,heavy,orx-1,37350347
54,6,4,2e20,late,heavy,orx-fixed-1,34983590
55,6,5,2e20,late,heavy,rayon-4,10823694
56,6,6,2e20,late,heavy,orx-4,10606708
57,6,7,2e20,late,heavy,orx-fixed-4,10768978
58,6,8,2e20,late,heavy,rayon-16,7621790
59,6,9,2e20,late,heavy,orx-16,5396492
60,6,10,2e20,late,heavy,orx-fixed-16,5465265
