t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,early,light,seq,98
2,1,2,2e20,early,light,rayon-1,70991
3,1,3,2e20,early,light,orx-1,105
4,1,4,2e20,early,light,orx-fixed-1,101
5,1,5,2e20,early,light,rayon-4,268108
6,1,6,2e20,early,light,orx-4,141326
7,1,7,2e20,early,light,orx-fixed-4,133726
8,1,8,2e20,early,light,rayon-16,1623425
9,1,9,2e20,early,light,orx-16,575317
10,1,10,2e20,early,light,orx-fixed-16,526632
11,2,1,2e20,mid,light,seq,178604
12,2,2,2e20,mid,light,rayon-1,5266917
13,2,3,2e20,mid,light,orx-1,183678
14,2,4,2e20,mid,light,orx-fixed-1,180005
15,2,5,2e20,mid,light,rayon-4,1924972
16,2,6,2e20,mid,light,orx-4,235946
17,2,7,2e20,mid,light,orx-fixed-4,218030
18,2,8,2e20,mid,light,rayon-16,3081748
19,2,9,2e20,mid,light,orx-16,1009573
20,2,10,2e20,mid,light,orx-fixed-16,987502
21,3,1,2e20,late,light,seq,383496
22,3,2,2e20,late,light,rayon-1,10563674
23,3,3,2e20,late,light,orx-1,388008
24,3,4,2e20,late,light,orx-fixed-1,377955
25,3,5,2e20,late,light,rayon-4,3544275
26,3,6,2e20,late,light,orx-4,407470
27,3,7,2e20,late,light,orx-fixed-4,332151
28,3,8,2e20,late,light,rayon-16,3728897
29,3,9,2e20,late,light,orx-16,1142619
30,3,10,2e20,late,light,orx-fixed-16,1069545
31,4,1,2e20,early,heavy,seq,1267
32,4,2,2e20,early,heavy,rayon-1,72701
33,4,3,2e20,early,heavy,orx-1,1226
34,4,4,2e20,early,heavy,orx-fixed-1,1189
35,4,5,2e20,early,heavy,rayon-4,286448
36,4,6,2e20,early,heavy,orx-4,155520
37,4,7,2e20,early,heavy,orx-fixed-4,134551
38,4,8,2e20,early,heavy,rayon-16,1690691
39,4,9,2e20,early,heavy,orx-16,614688
40,4,10,2e20,early,heavy,orx-fixed-16,493925
41,5,1,2e20,mid,heavy,seq,2503623
42,5,2,2e20,mid,heavy,rayon-1,6285268
43,5,3,2e20,mid,heavy,orx-1,2601936
44,5,4,2e20,mid,heavy,orx-fixed-1,2559892
45,5,5,2e20,mid,heavy,rayon-4,2222115
46,5,6,2e20,mid,heavy,orx-4,988086
47,5,7,2e20,mid,heavy,orx-fixed-4,981837
48,5,8,2e20,mid,heavy,rayon-16,3131777
49,5,9,2e20,mid,heavy,orx-16,1474201
50,5,10,2e20,mid,heavy,orx-fixed-16,1451422
51,6,1,2e20,late,heavy,seq,5112800
52,6,2,2e20,late,heavy,rayon-1,12445134
53,6,3,2e20,late,heavy,orx-1,5233593
54,6,4,2e20,late,heavy,orx-fixed-1,4830382
55,6,5,2e20,late,heavy,rayon-4,4135253
56,6,6,2e20,late,heavy,orx-4,1829010
57,6,7,2e20,late,heavy,orx-fixed-4,1763243
58,6,8,2e20,late,heavy,rayon-16,4014286
59,6,9,2e20,late,heavy,orx-16,1879779
60,6,10,2e20,late,heavy,orx-fixed-16,1854325
