t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,early,light,seq,102
2,1,2,2e20,early,light,rayon-1,71302
3,1,3,2e20,early,light,orx-1,119
4,1,4,2e20,early,light,orx-fixed-1,114
5,1,5,2e20,early,light,rayon-4,285384
6,1,6,2e20,early,light,orx-4,155367
7,1,7,2e20,early,light,orx-fixed-4,137509
8,1,8,2e20,early,light,rayon-16,1691748
9,1,9,2e20,early,light,orx-16,595404
10,1,10,2e20,early,light,orx-fixed-16,489491
11,2,1,2e20,mid,light,seq,180737
12,2,2,2e20,mid,light,rayon-1,349660
13,2,3,2e20,mid,light,orx-1,183522
14,2,4,2e20,mid,light,orx-fixed-1,186257
15,2,5,2e20,mid,light,rayon-4,412591
16,2,6,2e20,mid,light,orx-4,288578
17,2,7,2e20,mid,light,orx-fixed-4,266210
18,2,8,2e20,mid,light,rayon-16,6128611
19,2,9,2e20,mid,light,orx-16,1050702
20,2,10,2e20,mid,light,orx-fixed-16,988117
21,3,1,2e20,late,light,seq,365796
22,3,2,2e20,late,light,rayon-1,619901
23,3,3,2e20,late,light,orx-1,384247
24,3,4,2e20,late,light,orx-fixed-1,371497
25,3,5,2e20,late,light,rayon-4,527745
26,3,6,2e20,late,light,orx-4,434282
27,3,7,2e20,late,light,orx-fixed-4,343798
28,3,8,2e20,late,light,rayon-16,6933267
29,3,9,2e20,late,light,orx-16,1185392
30,3,10,2e20,late,light,orx-fixed-16,1077028
31,4,1,2e20,early,heavy,seq,6372
32,4,2,2e20,early,heavy,rayon-1,76900
33,4,3,2e20,early,heavy,orx-1,6093
34,4,4,2e20,early,heavy,orx-fixed-1,5956
35,4,5,2e20,early,heavy,rayon-4,292364
36,4,6,2e20,early,heavy,orx-4,159356
37,4,7,2e20,early,heavy,orx-fixed-4,149147
38,4,8,2e20,early,heavy,rayon-16,1748753
39,4,9,2e20,early,heavy,orx-16,775099
40,4,10,2e20,early,heavy,orx-fixed-16,619266
41,5,1,2e20,mid,heavy,seq,18706332
42,5,2,2e20,mid,heavy,rayon-1,18785558
43,5,3,2e20,mid,heavy,orx-1,18789343
44,5,4,2e20,mid,heavy,orx-fixed-1,18568038
45,5,5,2e20,mid,heavy,rayon-4,6383050
46,5,6,2e20,mid,heavy,orx-4,6346708
47,5,7,2e20,mid,heavy,orx-fixed-4,5978528
48,5,8,2e20,mid,heavy,rayon-16,5532409
49,5,9,2e20,mid,heavy,orx-16,3405743
50,5,10,2e20,mid,heavy,orx-fixed-16,3444941
51,6,1,2e20,late,heavy,seq,36865682
52,6,2,2e20,late,heavy,rayon-1,37048758
53,6,3,2e20,late,heavy,orx-1,37362389
54,6,4,2e20,late,heavy,orx-fixed-1,36576070
55,6,5,2e20,late,heavy,rayon-4,11012596
56,6,6,2e20,late,heavy,orx-4,11337635
57,6,7,2e20,late,heavy,orx-fixed-4,11131736
58,6,8,2e20,late,heavy,rayon-16,7703171
59,6,9,2e20,late,heavy,orx-16,5614312
60,6,10,2e20,late,heavy,orx-fixed-16,5424691
