method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,2917417
seq,4,2e16,light,43240
seq,4,2e20,heavy,42284625
seq,4,2e20,light,658880
seq,8,2e16,heavy,2522322
seq,8,2e16,light,43369
seq,8,2e20,heavy,39159484
seq,8,2e20,light,709164
seq,16,2e16,heavy,2410135
seq,16,2e16,light,42051
seq,16,2e20,heavy,38065251
seq,16,2e20,light,681815
seq,20,2e16,heavy,2425067
seq,20,2e16,light,37234
seq,20,2e20,heavy,37856515
seq,20,2e20,light,719172
seq,24,2e16,heavy,2412040
seq,24,2e16,light,41187
seq,24,2e20,heavy,37570444
seq,24,2e20,light,654458
seq,28,2e16,heavy,2358262
seq,28,2e16,light,35612
seq,28,2e20,heavy,37143889
seq,28,2e20,light,686518
seq,32,2e16,heavy,2398622
seq,32,2e16,light,36782
seq,32,2e20,heavy,37587201
seq,32,2e20,light,690396
rayon,4,2e16,heavy,912415
rayon,4,2e16,light,326534
rayon,4,2e20,heavy,12400640
rayon,4,2e20,light,4132471
rayon,8,2e16,heavy,713064
rayon,8,2e16,light,363454
rayon,8,2e20,heavy,8434936
rayon,8,2e20,light,2814170
rayon,16,2e16,heavy,3597344
rayon,16,2e16,light,3396282
rayon,16,2e20,heavy,7364529
rayon,16,2e20,light,2336346
rayon,20,2e16,heavy,5447020
rayon,20,2e16,light,5339210
rayon,20,2e20,heavy,7397188
rayon,20,2e20,light,2520182
rayon,24,2e16,heavy,6730253
rayon,24,2e16,light,7432337
rayon,24,2e20,heavy,7472683
rayon,24,2e20,light,3274914
rayon,28,2e16,heavy,8979077
rayon,28,2e16,light,9388059
rayon,28,2e20,heavy,8154926
rayon,28,2e20,light,6859483
rayon,32,2e16,heavy,11174002
rayon,32,2e16,light,12070344
rayon,32,2e20,heavy,10106800
rayon,32,2e20,light,3877320
orx-once,4,2e16,heavy,1203429
orx-once,4,2e16,light,223823
orx-once,4,2e20,heavy,14723340
orx-once,4,2e20,light,456863
orx-once,8,2e16,heavy,852129
orx-once,8,2e16,light,370948
orx-once,8,2e20,heavy,9658507
orx-once,8,2e20,light,646227
orx-once,16,2e16,heavy,1421073
orx-once,16,2e16,light,758977
orx-once,16,2e20,heavy,8721098
orx-once,16,2e20,light,1309592
orx-once,20,2e16,heavy,1658949
orx-once,20,2e16,light,954324
orx-once,20,2e20,heavy,8439399
orx-once,20,2e20,light,1587788
orx-once,24,2e16,heavy,2067701
orx-once,24,2e16,light,1234185
orx-once,24,2e20,heavy,8770948
orx-once,24,2e20,light,2040203
orx-once,28,2e16,heavy,2350714
orx-once,28,2e16,light,1366530
orx-once,28,2e20,heavy,9224428
orx-once,28,2e20,light,2526205
orx-once,32,2e16,heavy,2657824
orx-once,32,2e16,light,1614067
orx-once,32,2e20,heavy,9510581
orx-once,32,2e20,light,2764483
orx-basic,4,2e16,heavy,1102251
orx-basic,4,2e16,light,99723
orx-basic,4,2e20,heavy,14515777
orx-basic,4,2e20,light,613178
orx-basic,8,2e16,heavy,711508
orx-basic,8,2e16,light,136008
orx-basic,8,2e20,heavy,9531298
orx-basic,8,2e20,light,617698
orx-basic,16,2e16,heavy,639838
orx-basic,16,2e16,light,264892
orx-basic,16,2e20,heavy,7712257
orx-basic,16,2e20,light,418432
orx-basic,20,2e16,heavy,680274
orx-basic,20,2e16,light,349818
orx-basic,20,2e20,heavy,7466592
orx-basic,20,2e20,light,1250371
orx-basic,24,2e16,heavy,688744
orx-basic,24,2e16,light,447510
orx-basic,24,2e20,heavy,7591725
orx-basic,24,2e20,light,1003989
orx-basic,28,2e16,heavy,781562
orx-basic,28,2e16,light,510282
orx-basic,28,2e20,heavy,8097588
orx-basic,28,2e20,light,924011
orx-basic,32,2e16,heavy,806918
orx-basic,32,2e16,light,562498
orx-basic,32,2e20,heavy,9337871
orx-basic,32,2e20,light,1003258
orx-rayon,4,2e16,heavy,1168487
orx-rayon,4,2e16,light,173522
orx-rayon,4,2e20,heavy,14744299
orx-rayon,4,2e20,light,584658
orx-rayon,8,2e16,heavy,761826
orx-rayon,8,2e16,light,346364
orx-rayon,8,2e20,heavy,9460126
orx-rayon,8,2e20,light,761988
orx-rayon,16,2e16,heavy,1127352
orx-rayon,16,2e16,light,794101
orx-rayon,16,2e20,heavy,8419606
orx-rayon,16,2e20,light,1193967
orx-rayon,20,2e16,heavy,1360650
orx-rayon,20,2e16,light,1049734
orx-rayon,20,2e20,heavy,8093898
orx-rayon,20,2e20,light,1308753
orx-rayon,24,2e16,heavy,1690950
orx-rayon,24,2e16,light,1339936
orx-rayon,24,2e20,heavy,8649790
orx-rayon,24,2e20,light,1675767
orx-rayon,28,2e16,heavy,1991053
orx-rayon,28,2e16,light,1561202
orx-rayon,28,2e20,heavy,9070328
orx-rayon,28,2e20,light,2226350
orx-rayon,32,2e16,heavy,2221852
orx-rayon,32,2e16,light,1840151
orx-rayon,32,2e20,heavy,10910460
orx-rayon,32,2e20,light,2458460
