method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,253
seq,4,2e16,light,33894
seq,4,2e20,heavy,296
seq,4,2e20,light,616962
seq,8,2e16,heavy,256
seq,8,2e16,light,38844
seq,8,2e20,heavy,281
seq,8,2e20,light,637111
seq,16,2e16,heavy,253
seq,16,2e16,light,37372
seq,16,2e20,heavy,272
seq,16,2e20,light,645000
seq,20,2e16,heavy,246
seq,20,2e16,light,34548
seq,20,2e20,heavy,262
seq,20,2e20,light,658178
seq,24,2e16,heavy,253
seq,24,2e16,light,32107
seq,24,2e20,heavy,270
seq,24,2e20,light,581608
seq,28,2e16,heavy,238
seq,28,2e16,light,36146
seq,28,2e20,heavy,253
seq,28,2e20,light,587529
seq,32,2e16,heavy,236
seq,32,2e16,light,33057
seq,32,2e20,heavy,282
seq,32,2e20,light,558330
rayon,4,2e16,heavy,132202
rayon,4,2e16,light,431008
rayon,4,2e20,heavy,147954
rayon,4,2e20,light,3879183
rayon,8,2e16,heavy,288733
rayon,8,2e16,light,418475
rayon,8,2e20,heavy,240672
rayon,8,2e20,light,2241249
rayon,16,2e16,heavy,555489
rayon,16,2e16,light,2784563
rayon,16,2e20,heavy,597968
rayon,16,2e20,light,3453559
rayon,20,2e16,heavy,785062
rayon,20,2e16,light,3723987
rayon,20,2e20,heavy,798179
rayon,20,2e20,light,6540182
rayon,24,2e16,heavy,958607
rayon,24,2e16,light,5011270
rayon,24,2e20,heavy,918756
rayon,24,2e20,light,7872171
rayon,28,2e16,heavy,801369
rayon,28,2e16,light,6379597
rayon,28,2e20,heavy,1012116
rayon,28,2e20,light,10391131
rayon,32,2e16,heavy,1247722
rayon,32,2e16,light,7790482
rayon,32,2e20,heavy,1387262
rayon,32,2e20,light,13358211
orx-once,4,2e16,heavy,159080
orx-once,4,2e16,light,163299
orx-once,4,2e20,heavy,174806
orx-once,4,2e20,light,405059
orx-once,8,2e16,heavy,298797
orx-once,8,2e16,light,290437
orx-once,8,2e20,heavy,334978
orx-once,8,2e20,light,478407
orx-once,16,2e16,heavy,596183
orx-once,16,2e16,light,563288
orx-once,16,2e20,heavy,612686
orx-once,16,2e20,light,799665
orx-once,20,2e16,heavy,717207
orx-once,20,2e16,light,705327
orx-once,20,2e20,heavy,728259
orx-once,20,2e20,light,1011808
orx-once,24,2e16,heavy,800807
orx-once,24,2e16,light,842439
orx-once,24,2e20,heavy,863368
orx-once,24,2e20,light,1110657
orx-once,28,2e16,heavy,1056020
orx-once,28,2e16,light,979996
orx-once,28,2e20,heavy,959645
orx-once,28,2e20,light,1263590
orx-once,32,2e16,heavy,1161305
orx-once,32,2e16,light,1074741
orx-once,32,2e20,heavy,1112060
orx-once,32,2e20,light,1430463
orx-basic,4,2e16,heavy,46233
orx-basic,4,2e16,light,66725
orx-basic,4,2e20,heavy,46136
orx-basic,4,2e20,light,316194
orx-basic,8,2e16,heavy,78649
orx-basic,8,2e16,light,81225
orx-basic,8,2e20,heavy,90494
orx-basic,8,2e20,light,342365
orx-basic,16,2e16,heavy,164195
orx-basic,16,2e16,light,144577
orx-basic,16,2e20,heavy,170171
orx-basic,16,2e20,light,328041
orx-basic,20,2e16,heavy,212093
orx-basic,20,2e16,light,205314
orx-basic,20,2e20,heavy,219268
orx-basic,20,2e20,light,288836
orx-basic,24,2e16,heavy,244856
orx-basic,24,2e16,light,251490
orx-basic,24,2e20,heavy,250553
orx-basic,24,2e20,light,302029
orx-basic,28,2e16,heavy,266069
orx-basic,28,2e16,light,298722
orx-basic,28,2e20,heavy,309529
orx-basic,28,2e20,light,366754
orx-basic,32,2e16,heavy,300149
orx-basic,32,2e16,light,335620
orx-basic,32,2e20,heavy,325023
orx-basic,32,2e20,light,490070
orx-rayon,4,2e16,heavy,127719
orx-rayon,4,2e16,light,150142
orx-rayon,4,2e20,heavy,141495
orx-rayon,4,2e20,light,464172
orx-rayon,8,2e16,heavy,266601
orx-rayon,8,2e16,light,288829
orx-rayon,8,2e20,heavy,280894
orx-rayon,8,2e20,light,547187
orx-rayon,16,2e16,heavy,636343
orx-rayon,16,2e16,light,545589
orx-rayon,16,2e20,heavy,546952
orx-rayon,16,2e20,light,636168
orx-rayon,20,2e16,heavy,704218
orx-rayon,20,2e16,light,714287
orx-rayon,20,2e20,heavy,692603
orx-rayon,20,2e20,light,843957
orx-rayon,24,2e16,heavy,1102670
orx-rayon,24,2e16,light,841610
orx-rayon,24,2e20,heavy,845737
orx-rayon,24,2e20,light,1014382
orx-rayon,28,2e16,heavy,1019617
orx-rayon,28,2e16,light,986359
orx-rayon,28,2e20,heavy,1024424
orx-rayon,28,2e20,light,1140020
orx-rayon,32,2e16,heavy,1075683
orx-rayon,32,2e16,light,1168168
orx-rayon,32,2e20,heavy,1176363
orx-rayon,32,2e20,light,1346706
