method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,96
seq,4,2e16,light,88057
seq,4,2e20,heavy,108
seq,4,2e20,light,1480588
seq,8,2e16,heavy,98
seq,8,2e16,light,82841
seq,8,2e20,heavy,101
seq,8,2e20,light,1410627
seq,16,2e16,heavy,88
seq,16,2e16,light,79310
seq,16,2e20,heavy,102
seq,16,2e20,light,1358530
seq,20,2e16,heavy,85
seq,20,2e16,light,76757
seq,20,2e20,heavy,90
seq,20,2e20,light,1316564
seq,24,2e16,heavy,97
seq,24,2e16,light,77649
seq,24,2e20,heavy,96
seq,24,2e20,light,1310705
seq,28,2e16,heavy,95
seq,28,2e16,light,74579
seq,28,2e20,heavy,85
seq,28,2e20,light,1328334
seq,32,2e16,heavy,81
seq,32,2e16,light,79058
seq,32,2e20,heavy,92
seq,32,2e20,light,1303661
rayon,4,2e16,heavy,145122
rayon,4,2e16,light,1998369
rayon,4,2e20,heavy,144973
rayon,4,2e20,light,32071773
rayon,8,2e16,heavy,293753
rayon,8,2e16,light,1416454
rayon,8,2e20,heavy,307241
rayon,8,2e20,light,21159362
rayon,16,2e16,heavy,680059
rayon,16,2e16,light,3071205
rayon,16,2e20,heavy,761397
rayon,16,2e20,light,11712152
rayon,20,2e16,heavy,882072
rayon,20,2e16,light,5363626
rayon,20,2e20,heavy,1032730
rayon,20,2e20,light,11470373
rayon,24,2e16,heavy,1083750
rayon,24,2e16,light,6627507
rayon,24,2e20,heavy,1236667
rayon,24,2e20,light,10971523
rayon,28,2e16,heavy,1205152
rayon,28,2e16,light,9002745
rayon,28,2e20,heavy,2073676
rayon,28,2e20,light,12194028
rayon,32,2e16,heavy,1558964
rayon,32,2e16,light,11002063
rayon,32,2e20,heavy,1791991
rayon,32,2e20,light,10869863
orx-once,4,2e16,heavy,207702
orx-once,4,2e16,light,267102
orx-once,4,2e20,heavy,214002
orx-once,4,2e20,light,1986293
orx-once,8,2e16,heavy,361739
orx-once,8,2e16,light,467437
orx-once,8,2e20,heavy,350201
orx-once,8,2e20,light,1360705
orx-once,16,2e16,heavy,643195
orx-once,16,2e16,light,836097
orx-once,16,2e20,heavy,679603
orx-once,16,2e20,light,1681664
orx-once,20,2e16,heavy,829785
orx-once,20,2e16,light,1038117
orx-once,20,2e20,heavy,882908
orx-once,20,2e20,light,1993787
orx-once,24,2e16,heavy,975971
orx-once,24,2e16,light,1306513
orx-once,24,2e20,heavy,1035719
orx-once,24,2e20,light,2242861
orx-once,28,2e16,heavy,1188792
orx-once,28,2e16,light,1472677
orx-once,28,2e20,heavy,1249319
orx-once,28,2e20,light,2505994
orx-once,32,2e16,heavy,1352007
orx-once,32,2e16,light,1712590
orx-once,32,2e20,heavy,1386094
orx-once,32,2e20,light,2730897
orx-basic,4,2e16,heavy,50352
orx-basic,4,2e16,light,173903
orx-basic,4,2e20,heavy,55867
orx-basic,4,2e20,light,1974716
orx-basic,8,2e16,heavy,99600
orx-basic,8,2e16,light,142853
orx-basic,8,2e20,heavy,104853
orx-basic,8,2e20,light,1376799
orx-basic,16,2e16,heavy,192731
orx-basic,16,2e16,light,204659
orx-basic,16,2e20,heavy,201611
orx-basic,16,2e20,light,926668
orx-basic,20,2e16,heavy,237895
orx-basic,20,2e16,light,266856
orx-basic,20,2e20,heavy,262229
orx-basic,20,2e20,light,950375
orx-basic,24,2e16,heavy,288442
orx-basic,24,2e16,light,301375
orx-basic,24,2e20,heavy,302705
orx-basic,24,2e20,light,962229
orx-basic,28,2e16,heavy,329503
orx-basic,28,2e16,light,369974
orx-basic,28,2e20,heavy,378627
orx-basic,28,2e20,light,1064841
orx-basic,32,2e16,heavy,381623
orx-basic,32,2e16,light,425248
orx-basic,32,2e20,heavy,405690
orx-basic,32,2e20,light,1133147
orx-rayon,4,2e16,heavy,130067
orx-rayon,4,2e16,light,198866
orx-rayon,4,2e20,heavy,163502
orx-rayon,4,2e20,light,1878753
orx-rayon,8,2e16,heavy,396076
orx-rayon,8,2e16,light,380569
orx-rayon,8,2e20,heavy,412748
orx-rayon,8,2e20,light,1492138
orx-rayon,16,2e16,heavy,695047
orx-rayon,16,2e16,light,798608
orx-rayon,16,2e20,heavy,741954
orx-rayon,16,2e20,light,1598329
orx-rayon,20,2e16,heavy,923794
orx-rayon,20,2e16,light,1079430
orx-rayon,20,2e20,heavy,1027680
orx-rayon,20,2e20,light,1703907
orx-rayon,24,2e16,heavy,1165226
orx-rayon,24,2e16,light,1323288
orx-rayon,24,2e20,heavy,1277758
orx-rayon,24,2e20,light,2084142
orx-rayon,28,2e16,heavy,1353071
orx-rayon,28,2e16,light,1513901
orx-rayon,28,2e20,heavy,1471674
orx-rayon,28,2e20,light,2756667
orx-rayon,32,2e16,heavy,1675334
orx-rayon,32,2e16,light,1844162
orx-rayon,32,2e20,heavy,1763240
orx-rayon,32,2e20,light,2721757
