t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,beg,light,seq,31029
2,1,2,2e20,beg,light,rayon-1,711221
3,1,3,2e20,beg,light,orx-1,38938
4,1,4,2e20,beg,light,orx-fixed-1,46745
5,1,5,2e20,beg,light,rayon-4,984377
6,1,6,2e20,beg,light,orx-4,201058
7,1,7,2e20,beg,light,orx-fixed-4,206171
8,1,8,2e20,beg,light,rayon-16,3294222
9,1,9,2e20,beg,light,orx-16,784078
10,1,10,2e20,beg,light,orx-fixed-16,717718
11,2,1,2e20,mid,light,seq,313335
12,2,2,2e20,mid,light,rayon-1,5498565
13,2,3,2e20,mid,light,orx-1,391439
14,2,4,2e20,mid,light,orx-fixed-1,340378
15,2,5,2e20,mid,light,rayon-4,2172518
16,2,6,2e20,mid,light,orx-4,350702
17,2,7,2e20,mid,light,orx-fixed-4,312166
18,2,8,2e20,mid,light,rayon-16,4051140
19,2,9,2e20,mid,light,orx-16,1354240
20,2,10,2e20,mid,light,orx-fixed-16,1218885
21,3,1,2e20,end,light,seq,620981
22,3,2,2e20,end,light,rayon-1,10575615
23,3,3,2e20,end,light,orx-1,624649
24,3,4,2e20,end,light,orx-fixed-1,616729
25,3,5,2e20,end,light,rayon-4,3597681
26,3,6,2e20,end,light,orx-4,576424
27,3,7,2e20,end,light,orx-fixed-4,474660
28,3,8,2e20,end,light,rayon-16,4692860
29,3,9,2e20,end,light,orx-16,1443601
30,3,10,2e20,end,light,orx-fixed-16,1466237
31,4,1,2e20,beg,heavy,seq,1490158
32,4,2,2e20,beg,heavy,rayon-1,1548312
33,4,3,2e20,beg,heavy,orx-1,1408746
34,4,4,2e20,beg,heavy,orx-fixed-1,1379442
35,4,5,2e20,beg,heavy,rayon-4,2143442
36,4,6,2e20,beg,heavy,orx-4,677190
37,4,7,2e20,beg,heavy,orx-fixed-4,745477
38,4,8,2e20,beg,heavy,rayon-16,3998085
39,4,9,2e20,beg,heavy,orx-16,1546164
40,4,10,2e20,beg,heavy,orx-fixed-16,1518261
41,5,1,2e20,mid,heavy,seq,15205304
42,5,2,2e20,mid,heavy,rayon-1,14487698
43,5,3,2e20,mid,heavy,orx-1,13782670
44,5,4,2e20,mid,heavy,orx-fixed-1,13695705
45,5,5,2e20,mid,heavy,rayon-4,4825822
46,5,6,2e20,mid,heavy,orx-4,4464219
47,5,7,2e20,mid,heavy,orx-fixed-4,4553193
48,5,8,2e20,mid,heavy,rayon-16,5650417
49,5,9,2e20,mid,heavy,orx-16,3012784
50,5,10,2e20,mid,heavy,orx-fixed-16,3043207
51,6,1,2e20,end,heavy,seq,28988408
52,6,2,2e20,end,heavy,rayon-1,27787811
53,6,3,2e20,end,heavy,orx-1,26066342
54,6,4,2e20,end,heavy,orx-fixed-1,25795832
55,6,5,2e20,end,heavy,rayon-4,8686581
56,6,6,2e20,end,heavy,orx-4,8084768
57,6,7,2e20,end,heavy,orx-fixed-4,7971538
58,6,8,2e20,end,heavy,rayon-16,8293678
59,6,9,2e20,end,heavy,orx-16,4464814
60,6,10,2e20,end,heavy,orx-fixed-16,4800120
