t,i,a,n,method,time (ns)
1,1,1,2e10,seq,3
2,1,2,2e10,rayon-1,88945
3,1,3,2e10,orx-1,11163
4,1,4,2e10,orx-fixed-1,21665
5,1,5,2e10,rayon-4,339150
6,1,6,2e10,orx-4,198136
7,1,7,2e10,orx-fixed-4,209395
8,1,8,2e10,rayon-16,2149929
9,1,9,2e10,orx-16,762456
10,1,10,2e10,orx-fixed-16,755313
11,2,1,2e15,seq,3
12,2,2,2e15,rayon-1,85550
13,2,3,2e15,orx-1,10869
14,2,4,2e15,orx-fixed-1,21466
15,2,5,2e15,rayon-4,347264
16,2,6,2e15,orx-4,205676
17,2,7,2e15,orx-fixed-4,219762
18,2,8,2e15,rayon-16,2158453
19,2,9,2e15,orx-16,835996
20,2,10,2e15,orx-fixed-16,759896
21,3,1,2e20,seq,3
22,3,2,2e20,rayon-1,89731
23,3,3,2e20,orx-1,11365
24,3,4,2e20,orx-fixed-1,23852
25,3,5,2e20,rayon-4,372583
26,3,6,2e20,orx-4,225157
27,3,7,2e20,orx-fixed-4,217475
28,3,8,2e20,rayon-16,2526044
29,3,9,2e20,orx-16,832647
30,3,10,2e20,orx-fixed-16,708132
