t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,beg,light,seq,31492
2,1,2,2e20,beg,light,rayon-1,5402633
3,1,3,2e20,beg,light,orx-1,33622
4,1,4,2e20,beg,light,orx-fixed-1,34928
5,1,5,2e20,beg,light,rayon-4,6404315
6,1,6,2e20,beg,light,orx-4,245460
7,1,7,2e20,beg,light,orx-fixed-4,245752
8,1,8,2e20,beg,light,rayon-16,6040038
9,1,9,2e20,beg,light,orx-16,1076151
10,1,10,2e20,beg,light,orx-fixed-16,980668
11,2,1,2e20,mid,light,seq,298528
12,2,2,2e20,mid,light,rayon-1,51529583
13,2,3,2e20,mid,light,orx-1,331749
14,2,4,2e20,mid,light,orx-fixed-1,328196
15,2,5,2e20,mid,light,rayon-4,15683238
16,2,6,2e20,mid,light,orx-4,1290254
17,2,7,2e20,mid,light,orx-fixed-4,1268417
18,2,8,2e20,mid,light,rayon-16,7796242
19,2,9,2e20,mid,light,orx-16,1679666
20,2,10,2e20,mid,light,orx-fixed-16,1624532
21,3,1,2e20,end,light,seq,585498
22,3,2,2e20,end,light,rayon-1,98794771
23,3,3,2e20,end,light,orx-1,651398
24,3,4,2e20,end,light,orx-fixed-1,635746
25,3,5,2e20,end,light,rayon-4,29860915
26,3,6,2e20,end,light,orx-4,2429739
27,3,7,2e20,end,light,orx-fixed-4,2324185
28,3,8,2e20,end,light,rayon-16,12982362
29,3,9,2e20,end,light,orx-16,2269181
30,3,10,2e20,end,light,orx-fixed-16,2253078
31,4,1,2e20,beg,heavy,seq,7070390
32,4,2,2e20,beg,heavy,rayon-1,10776943
33,4,3,2e20,beg,heavy,orx-1,7064098
34,4,4,2e20,beg,heavy,orx-fixed-1,6832471
35,4,5,2e20,beg,heavy,rayon-4,12736706
36,4,6,2e20,beg,heavy,orx-4,2256913
37,4,7,2e20,beg,heavy,orx-fixed-4,2279506
38,4,8,2e20,beg,heavy,rayon-16,11075119
39,4,9,2e20,beg,heavy,orx-16,1962586
40,4,10,2e20,beg,heavy,orx-fixed-16,1954795
41,5,1,2e20,mid,heavy,seq,65068442
42,5,2,2e20,mid,heavy,rayon-1,101021051
43,5,3,2e20,mid,heavy,orx-1,66800209
44,5,4,2e20,mid,heavy,orx-fixed-1,65049672
45,5,5,2e20,mid,heavy,rayon-4,29701649
46,5,6,2e20,mid,heavy,orx-4,20627682
47,5,7,2e20,mid,heavy,orx-fixed-4,20177138
48,5,8,2e20,mid,heavy,rayon-16,17554674
49,5,9,2e20,mid,heavy,orx-16,9865702
50,5,10,2e20,mid,heavy,orx-fixed-16,10010782
51,6,1,2e20,end,heavy,seq,118753548
52,6,2,2e20,end,heavy,rayon-1,184848248
53,6,3,2e20,end,heavy,orx-1,125912919
54,6,4,2e20,end,heavy,orx-fixed-1,121504993
55,6,5,2e20,end,heavy,rayon-4,55440651
56,6,6,2e20,end,heavy,orx-4,39802030
57,6,7,2e20,end,heavy,orx-fixed-4,37606550
58,6,8,2e20,end,heavy,rayon-16,32232356
59,6,9,2e20,end,heavy,orx-16,20975660
60,6,10,2e20,end,heavy,orx-fixed-16,20237632
