method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,5174782
seq,4,2e16,light,24845
seq,4,2e20,heavy,83633134
seq,4,2e20,light,467482
seq,8,2e16,heavy,4208175
seq,8,2e16,light,29235
seq,8,2e20,heavy,80024863
seq,8,2e20,light,465668
seq,16,2e16,heavy,4088701
seq,16,2e16,light,24746
seq,16,2e20,heavy,79805354
seq,16,2e20,light,431002
seq,20,2e16,heavy,4054146
seq,20,2e16,light,22091
seq,20,2e20,heavy,79218023
seq,20,2e20,light,428147
seq,24,2e16,heavy,4191390
seq,24,2e16,light,22169
seq,24,2e20,heavy,77634732
seq,24,2e20,light,439968
seq,28,2e16,heavy,4148329
seq,28,2e16,light,23081
seq,28,2e20,heavy,77366303
seq,28,2e20,light,480338
seq,32,2e16,heavy,4152089
seq,32,2e16,light,19934
seq,32,2e20,heavy,76958227
seq,32,2e20,light,434306
rayon,4,2e16,heavy,882613
rayon,4,2e16,light,125246
rayon,4,2e20,heavy,11684873
rayon,4,2e20,light,438838
rayon,8,2e16,heavy,1286749
rayon,8,2e16,light,760749
rayon,8,2e20,heavy,7147846
rayon,8,2e20,light,418545
rayon,16,2e16,heavy,3342107
rayon,16,2e16,light,3243011
rayon,16,2e20,heavy,5944424
rayon,16,2e20,light,1416416
rayon,20,2e16,heavy,4503664
rayon,20,2e16,light,4290625
rayon,20,2e20,heavy,5874243
rayon,20,2e20,light,3716705
rayon,24,2e16,heavy,5811652
rayon,24,2e16,light,5733310
rayon,24,2e20,heavy,6261836
rayon,24,2e20,light,6261922
rayon,28,2e16,heavy,7206931
rayon,28,2e16,light,7312718
rayon,28,2e20,heavy,7690140
rayon,28,2e20,light,9249135
rayon,32,2e16,heavy,8268841
rayon,32,2e16,light,9662809
rayon,32,2e20,heavy,9279828
rayon,32,2e20,light,9638458
orx-once,4,2e16,heavy,1012864
orx-once,4,2e16,light,200090
orx-once,4,2e20,heavy,14253838
orx-once,4,2e20,light,389435
orx-once,8,2e16,heavy,848946
orx-once,8,2e16,light,384785
orx-once,8,2e20,heavy,8751742
orx-once,8,2e20,light,1198854
orx-once,16,2e16,heavy,1294273
orx-once,16,2e16,light,646348
orx-once,16,2e20,heavy,7255121
orx-once,16,2e20,light,1117970
orx-once,20,2e16,heavy,1605377
orx-once,20,2e16,light,814461
orx-once,20,2e20,heavy,6875678
orx-once,20,2e20,light,1425516
orx-once,24,2e16,heavy,1765867
orx-once,24,2e16,light,949249
orx-once,24,2e20,heavy,7056085
orx-once,24,2e20,light,1619048
orx-once,28,2e16,heavy,2058468
orx-once,28,2e16,light,1158514
orx-once,28,2e20,heavy,7549866
orx-once,28,2e20,light,1837434
orx-once,32,2e16,heavy,2277439
orx-once,32,2e16,light,1386253
orx-once,32,2e20,heavy,8036013
orx-once,32,2e20,light,2048641
orx-basic,4,2e16,heavy,988037
orx-basic,4,2e16,light,89621
orx-basic,4,2e20,heavy,13932765
orx-basic,4,2e20,light,945932
orx-basic,8,2e16,heavy,702206
orx-basic,8,2e16,light,109522
orx-basic,8,2e20,heavy,8647734
orx-basic,8,2e20,light,327686
orx-basic,16,2e16,heavy,689381
orx-basic,16,2e16,light,224521
orx-basic,16,2e20,heavy,6671440
orx-basic,16,2e20,light,371448
orx-basic,20,2e16,heavy,672624
orx-basic,20,2e16,light,284014
orx-basic,20,2e20,heavy,6002625
orx-basic,20,2e20,light,493786
orx-basic,24,2e16,heavy,650567
orx-basic,24,2e16,light,327748
orx-basic,24,2e20,heavy,5639324
orx-basic,24,2e20,light,708057
orx-basic,28,2e16,heavy,693290
orx-basic,28,2e16,light,394678
orx-basic,28,2e20,heavy,5580782
orx-basic,28,2e20,light,1519015
orx-basic,32,2e16,heavy,701544
orx-basic,32,2e16,light,456417
orx-basic,32,2e20,heavy,5639951
orx-basic,32,2e20,light,846401
orx-rayon,4,2e16,heavy,886048
orx-rayon,4,2e16,light,137313
orx-rayon,4,2e20,heavy,12989109
orx-rayon,4,2e20,light,581385
orx-rayon,8,2e16,heavy,739037
orx-rayon,8,2e16,light,321889
orx-rayon,8,2e20,heavy,8116599
orx-rayon,8,2e20,light,653591
orx-rayon,16,2e16,heavy,1261181
orx-rayon,16,2e16,light,729453
orx-rayon,16,2e20,heavy,6783905
orx-rayon,16,2e20,light,746890
orx-rayon,20,2e16,heavy,1134774
orx-rayon,20,2e16,light,904421
orx-rayon,20,2e20,heavy,6560349
orx-rayon,20,2e20,light,1149521
orx-rayon,24,2e16,heavy,1382707
orx-rayon,24,2e16,light,1084161
orx-rayon,24,2e20,heavy,6452450
orx-rayon,24,2e20,light,1352109
orx-rayon,28,2e16,heavy,1689282
orx-rayon,28,2e16,light,1276808
orx-rayon,28,2e20,heavy,6684033
orx-rayon,28,2e20,light,1675277
orx-rayon,32,2e16,heavy,1750417
orx-rayon,32,2e16,light,1526532
orx-rayon,32,2e20,heavy,8141710
orx-rayon,32,2e20,light,1795441
