t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,beg,light,seq,25566
2,1,2,2e20,beg,light,rayon-1,99254
3,1,3,2e20,beg,light,orx-1,24851
4,1,4,2e20,beg,light,orx-fixed-1,24859
5,1,5,2e20,beg,light,rayon-4,307492
6,1,6,2e20,beg,light,orx-4,173419
7,1,7,2e20,beg,light,orx-fixed-4,152602
8,1,8,2e20,beg,light,rayon-16,3473896
9,1,9,2e20,beg,light,orx-16,614487
10,1,10,2e20,beg,light,orx-fixed-16,530694
11,2,1,2e20,mid,light,seq,263698
12,2,2,2e20,mid,light,rayon-1,447544
13,2,3,2e20,mid,light,orx-1,261164
14,2,4,2e20,mid,light,orx-fixed-1,254005
15,2,5,2e20,mid,light,rayon-4,439143
16,2,6,2e20,mid,light,orx-4,308335
17,2,7,2e20,mid,light,orx-fixed-4,262753
18,2,8,2e20,mid,light,rayon-16,5889462
19,2,9,2e20,mid,light,orx-16,972636
20,2,10,2e20,mid,light,orx-fixed-16,967583
21,3,1,2e20,end,light,seq,536669
22,3,2,2e20,end,light,rayon-1,785619
23,3,3,2e20,end,light,orx-1,520673
24,3,4,2e20,end,light,orx-fixed-1,501656
25,3,5,2e20,end,light,rayon-4,566242
26,3,6,2e20,end,light,orx-4,430735
27,3,7,2e20,end,light,orx-fixed-4,360677
28,3,8,2e20,end,light,rayon-16,6305036
29,3,9,2e20,end,light,orx-16,1171752
30,3,10,2e20,end,light,orx-fixed-16,1066481
31,4,1,2e20,beg,heavy,seq,1193447
32,4,2,2e20,beg,heavy,rayon-1,1337257
33,4,3,2e20,beg,heavy,orx-1,1180126
34,4,4,2e20,beg,heavy,orx-fixed-1,1124751
35,4,5,2e20,beg,heavy,rayon-4,1804891
36,4,6,2e20,beg,heavy,orx-4,528142
37,4,7,2e20,beg,heavy,orx-fixed-4,520452
38,4,8,2e20,beg,heavy,rayon-16,3194446
39,4,9,2e20,beg,heavy,orx-16,1256172
40,4,10,2e20,beg,heavy,orx-fixed-16,1230458
41,5,1,2e20,mid,heavy,seq,12360546
42,5,2,2e20,mid,heavy,rayon-1,12486654
43,5,3,2e20,mid,heavy,orx-1,12640150
44,5,4,2e20,mid,heavy,orx-fixed-1,11618243
45,5,5,2e20,mid,heavy,rayon-4,4036162
46,5,6,2e20,mid,heavy,orx-4,3685299
47,5,7,2e20,mid,heavy,orx-fixed-4,3711224
48,5,8,2e20,mid,heavy,rayon-16,4464045
49,5,9,2e20,mid,heavy,orx-16,2552661
50,5,10,2e20,mid,heavy,orx-fixed-16,2598994
51,6,1,2e20,end,heavy,seq,23714296
52,6,2,2e20,end,heavy,rayon-1,24038070
53,6,3,2e20,end,heavy,orx-1,22515442
54,6,4,2e20,end,heavy,orx-fixed-1,21477478
55,6,5,2e20,end,heavy,rayon-4,7122317
56,6,6,2e20,end,heavy,orx-4,6748059
57,6,7,2e20,end,heavy,orx-fixed-4,6718033
58,6,8,2e20,end,heavy,rayon-16,7032875
59,6,9,2e20,end,heavy,orx-16,3880199
60,6,10,2e20,end,heavy,orx-fixed-16,4107005
