t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,beg,light,seq,27479
2,1,2,2e20,beg,light,rayon-1,318950
3,1,3,2e20,beg,light,orx-1,26125
4,1,4,2e20,beg,light,orx-fixed-1,25482
5,1,5,2e20,beg,light,rayon-4,597591
6,1,6,2e20,beg,light,orx-4,150717
7,1,7,2e20,beg,light,orx-fixed-4,239469
8,1,8,2e20,beg,light,rayon-16,3305176
9,1,9,2e20,beg,light,orx-16,680342
10,1,10,2e20,beg,light,orx-fixed-16,558670
11,2,1,2e20,mid,light,seq,274253
12,2,2,2e20,mid,light,rayon-1,2521072
13,2,3,2e20,mid,light,orx-1,259801
14,2,4,2e20,mid,light,orx-fixed-1,254572
15,2,5,2e20,mid,light,rayon-4,1115972
16,2,6,2e20,mid,light,orx-4,281017
17,2,7,2e20,mid,light,orx-fixed-4,271392
18,2,8,2e20,mid,light,rayon-16,4567733
19,2,9,2e20,mid,light,orx-16,1019958
20,2,10,2e20,mid,light,orx-fixed-16,994469
21,3,1,2e20,end,light,seq,544968
22,3,2,2e20,end,light,rayon-1,4775244
23,3,3,2e20,end,light,orx-1,509185
24,3,4,2e20,end,light,orx-fixed-1,500918
25,3,5,2e20,end,light,rayon-4,1846018
26,3,6,2e20,end,light,orx-4,393808
27,3,7,2e20,end,light,orx-fixed-4,348389
28,3,8,2e20,end,light,rayon-16,3599792
29,3,9,2e20,end,light,orx-16,1178850
30,3,10,2e20,end,light,orx-fixed-16,1097972
31,4,1,2e20,beg,heavy,seq,1232997
32,4,2,2e20,beg,heavy,rayon-1,1630550
33,4,3,2e20,beg,heavy,orx-1,1153845
34,4,4,2e20,beg,heavy,orx-fixed-1,1132022
35,4,5,2e20,beg,heavy,rayon-4,2027897
36,4,6,2e20,beg,heavy,orx-4,535122
37,4,7,2e20,beg,heavy,orx-fixed-4,544038
38,4,8,2e20,beg,heavy,rayon-16,3342210
39,4,9,2e20,beg,heavy,orx-16,1271212
40,4,10,2e20,beg,heavy,orx-fixed-16,1248546
41,5,1,2e20,mid,heavy,seq,12678310
42,5,2,2e20,mid,heavy,rayon-1,14125575
43,5,3,2e20,mid,heavy,orx-1,11621796
44,5,4,2e20,mid,heavy,orx-fixed-1,11520345
45,5,5,2e20,mid,heavy,rayon-4,4568474
46,5,6,2e20,mid,heavy,orx-4,3733826
47,5,7,2e20,mid,heavy,orx-fixed-4,3742041
48,5,8,2e20,mid,heavy,rayon-16,4747588
49,5,9,2e20,mid,heavy,orx-16,2536939
50,5,10,2e20,mid,heavy,orx-fixed-16,2605311
51,6,1,2e20,end,heavy,seq,24441403
52,6,2,2e20,end,heavy,rayon-1,26725813
53,6,3,2e20,end,heavy,orx-1,21864384
54,6,4,2e20,end,heavy,orx-fixed-1,22331906
55,6,5,2e20,end,heavy,rayon-4,8320407
56,6,6,2e20,end,heavy,orx-4,6970687
57,6,7,2e20,end,heavy,orx-fixed-4,7002255
58,6,8,2e20,end,heavy,rayon-16,6710835
59,6,9,2e20,end,heavy,orx-16,3827446
60,6,10,2e20,end,heavy,orx-fixed-16,3897639
