t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,beg,light,seq,38724
2,1,2,2e20,beg,light,rayon-1,618877
3,1,3,2e20,beg,light,orx-1,47664
4,1,4,2e20,beg,light,orx-fixed-1,55457
5,1,5,2e20,beg,light,rayon-4,924019
6,1,6,2e20,beg,light,orx-4,224408
7,1,7,2e20,beg,light,orx-fixed-4,202731
8,1,8,2e20,beg,light,rayon-16,3336660
9,1,9,2e20,beg,light,orx-16,788787
10,1,10,2e20,beg,light,orx-fixed-16,689911
11,2,1,2e20,mid,light,seq,404402
12,2,2,2e20,mid,light,rayon-1,5242466
13,2,3,2e20,mid,light,orx-1,397225
14,2,4,2e20,mid,light,orx-fixed-1,396342
15,2,5,2e20,mid,light,rayon-4,1908057
16,2,6,2e20,mid,light,orx-4,322988
17,2,7,2e20,mid,light,orx-fixed-4,314199
18,2,8,2e20,mid,light,rayon-16,3420960
19,2,9,2e20,mid,light,orx-16,1256074
20,2,10,2e20,mid,light,orx-fixed-16,1190895
21,3,1,2e20,end,light,seq,758619
22,3,2,2e20,end,light,rayon-1,9805206
23,3,3,2e20,end,light,orx-1,731775
24,3,4,2e20,end,light,orx-fixed-1,718215
25,3,5,2e20,end,light,rayon-4,3209961
26,3,6,2e20,end,light,orx-4,558503
27,3,7,2e20,end,light,orx-fixed-4,526418
28,3,8,2e20,end,light,rayon-16,3771802
29,3,9,2e20,end,light,orx-16,1380501
30,3,10,2e20,end,light,orx-fixed-16,1334825
31,4,1,2e20,beg,heavy,seq,4144459
32,4,2,2e20,beg,heavy,rayon-1,4211256
33,4,3,2e20,beg,heavy,orx-1,3941804
34,4,4,2e20,beg,heavy,orx-fixed-1,3993318
35,4,5,2e20,beg,heavy,rayon-4,5187091
36,4,6,2e20,beg,heavy,orx-4,1494272
37,4,7,2e20,beg,heavy,orx-fixed-4,1495828
38,4,8,2e20,beg,heavy,rayon-16,5352897
39,4,9,2e20,beg,heavy,orx-16,1693090
40,4,10,2e20,beg,heavy,orx-fixed-16,1786041
41,5,1,2e20,mid,heavy,seq,40751576
42,5,2,2e20,mid,heavy,rayon-1,39594262
43,5,3,2e20,mid,heavy,orx-1,38564504
44,5,4,2e20,mid,heavy,orx-fixed-1,38813702
45,5,5,2e20,mid,heavy,rayon-4,11559431
46,5,6,2e20,mid,heavy,orx-4,12345469
47,5,7,2e20,mid,heavy,orx-fixed-4,12101391
48,5,8,2e20,mid,heavy,rayon-16,7834021
49,5,9,2e20,mid,heavy,orx-16,5546182
50,5,10,2e20,mid,heavy,orx-fixed-16,5602613
51,6,1,2e20,end,heavy,seq,75234403
52,6,2,2e20,end,heavy,rayon-1,75419305
53,6,3,2e20,end,heavy,orx-1,72171579
54,6,4,2e20,end,heavy,orx-fixed-1,73158330
55,6,5,2e20,end,heavy,rayon-4,22690796
56,6,6,2e20,end,heavy,orx-4,22403767
57,6,7,2e20,end,heavy,orx-fixed-4,22175137
58,6,8,2e20,end,heavy,rayon-16,14195158
59,6,9,2e20,end,heavy,orx-16,10965608
60,6,10,2e20,end,heavy,orx-fixed-16,11151775
