t,i,a,n,heavy,het,method,time (ns)
1,1,1,4096,false,2%,seq,579937
2,1,2,4096,false,2%,rayon-1,692890
3,1,3,4096,false,2%,orx-1-0,585486
4,1,4,4096,false,2%,orx-1-1,579032
5,1,5,4096,false,2%,orx-fixed-1-0,569772
6,1,6,4096,false,2%,orx-fixed-1-1,603170
7,1,7,4096,false,2%,rayon-4,508634
8,1,8,4096,false,2%,orx-4-0,325891
9,1,9,4096,false,2%,orx-4-1,547771
10,1,10,4096,false,2%,orx-fixed-4-0,371875
11,1,11,4096,false,2%,orx-fixed-4-1,434338
12,1,12,4096,false,2%,rayon-16,4512675
13,1,13,4096,false,2%,orx-16-0,1133254
14,1,14,4096,false,2%,orx-16-1,1349937
15,1,15,4096,false,2%,orx-fixed-16-0,1083735
16,1,16,4096,false,2%,orx-fixed-16-1,1295226
17,2,1,4096,false,5%,seq,1199295
18,2,2,4096,false,5%,rayon-1,1288273
19,2,3,4096,false,5%,orx-1-0,1154192
20,2,4,4096,false,5%,orx-1-1,1139201
21,2,5,4096,false,5%,orx-fixed-1-0,1129790
22,2,6,4096,false,5%,orx-fixed-1-1,1136449
23,2,7,4096,false,5%,rayon-4,721297
24,2,8,4096,false,5%,orx-4-0,539669
25,2,9,4096,false,5%,orx-4-1,712974
26,2,10,4096,false,5%,orx-fixed-4-0,583870
27,2,11,4096,false,5%,orx-fixed-4-1,637984
28,2,12,4096,false,5%,rayon-16,4453731
29,2,13,4096,false,5%,orx-16-0,1292057
30,2,14,4096,false,5%,orx-16-1,1422936
31,2,15,4096,false,5%,orx-fixed-16-0,1254505
32,2,16,4096,false,5%,orx-fixed-16-1,1417954
33,3,1,4096,false,10%,seq,2294460
34,3,2,4096,false,10%,rayon-1,2424567
35,3,3,4096,false,10%,orx-1-0,2058974
36,3,4,4096,false,10%,orx-1-1,2003134
37,3,5,4096,false,10%,orx-fixed-1-0,1992360
38,3,6,4096,false,10%,orx-fixed-1-1,1972002
39,3,7,4096,false,10%,rayon-4,970441
40,3,8,4096,false,10%,orx-4-0,798455
41,3,9,4096,false,10%,orx-4-1,912218
42,3,10,4096,false,10%,orx-fixed-4-0,870419
43,3,11,4096,false,10%,orx-fixed-4-1,907529
44,3,12,4096,false,10%,rayon-16,4347098
45,3,13,4096,false,10%,orx-16-0,1424532
46,3,14,4096,false,10%,orx-16-1,1545822
47,3,15,4096,false,10%,orx-fixed-16-0,1425530
48,3,16,4096,false,10%,orx-fixed-16-1,1524187
49,4,1,4096,true,2%,seq,8220998
50,4,2,4096,true,2%,rayon-1,7729866
51,4,3,4096,true,2%,orx-1-0,7241640
52,4,4,4096,true,2%,orx-1-1,7189154
53,4,5,4096,true,2%,orx-fixed-1-0,7088991
54,4,6,4096,true,2%,orx-fixed-1-1,6996621
55,4,7,4096,true,2%,rayon-4,2816406
56,4,8,4096,true,2%,orx-4-0,2397877
57,4,9,4096,true,2%,orx-4-1,2522387
58,4,10,4096,true,2%,orx-fixed-4-0,2613319
59,4,11,4096,true,2%,orx-fixed-4-1,2461361
60,4,12,4096,true,2%,rayon-16,3923061
61,4,13,4096,true,2%,orx-16-0,1964095
62,4,14,4096,true,2%,orx-16-1,2087626
63,4,15,4096,true,2%,orx-fixed-16-0,1925041
64,4,16,4096,true,2%,orx-fixed-16-1,2162177
65,5,1,4096,true,5%,seq,13758035
66,5,2,4096,true,5%,rayon-1,18847826
67,5,3,4096,true,5%,orx-1-0,14888623
68,5,4,4096,true,5%,orx-1-1,13481401
69,5,5,4096,true,5%,orx-fixed-1-0,13566117
70,5,6,4096,true,5%,orx-fixed-1-1,12861204
71,5,7,4096,true,5%,rayon-4,4388835
72,5,8,4096,true,5%,orx-4-0,4173901
73,5,9,4096,true,5%,orx-4-1,4158340
74,5,10,4096,true,5%,orx-fixed-4-0,4410067
75,5,11,4096,true,5%,orx-fixed-4-1,4094839
76,5,12,4096,true,5%,rayon-16,4470269
77,5,13,4096,true,5%,orx-16-0,2603932
78,5,14,4096,true,5%,orx-16-1,2670719
79,5,15,4096,true,5%,orx-fixed-16-0,2486003
80,5,16,4096,true,5%,orx-fixed-16-1,2624916
81,6,1,4096,true,10%,seq,22286792
82,6,2,4096,true,10%,rayon-1,21371414
83,6,3,4096,true,10%,orx-1-0,20710728
84,6,4,4096,true,10%,orx-1-1,20638711
85,6,5,4096,true,10%,orx-fixed-1-0,20380006
86,6,6,4096,true,10%,orx-fixed-1-1,20451351
87,6,7,4096,true,10%,rayon-4,6528293
88,6,8,4096,true,10%,orx-4-0,6293707
89,6,9,4096,true,10%,orx-4-1,6458045
90,6,10,4096,true,10%,orx-fixed-4-0,6553171
91,6,11,4096,true,10%,orx-fixed-4-1,6434522
92,6,12,4096,true,10%,rayon-16,5711698
93,6,13,4096,true,10%,orx-16-0,3577210
94,6,14,4096,true,10%,orx-16-1,3550070
95,6,15,4096,true,10%,orx-fixed-16-0,3607789
96,6,16,4096,true,10%,orx-fixed-16-1,3675537
97,7,1,262144,false,2%,seq,38506303
98,7,2,262144,false,2%,rayon-1,36963158
99,7,3,262144,false,2%,orx-1-0,37000217
100,7,4,262144,false,2%,orx-1-1,36557513
101,7,5,262144,false,2%,orx-fixed-1-0,36507882
102,7,6,262144,false,2%,orx-fixed-1-1,36208520
103,7,7,262144,false,2%,rayon-4,10938093
104,7,8,262144,false,2%,orx-4-0,11026512
105,7,9,262144,false,2%,orx-4-1,23666867
106,7,10,262144,false,2%,orx-fixed-4-0,11182086
107,7,11,262144,false,2%,orx-fixed-4-1,17092005
108,7,12,262144,false,2%,rayon-16,7505218
109,7,13,262144,false,2%,orx-16-0,5572673
110,7,14,262144,false,2%,orx-16-1,30129704
111,7,15,262144,false,2%,orx-fixed-16-0,6231382
112,7,16,262144,false,2%,orx-fixed-16-1,21797796
113,8,1,262144,false,5%,seq,74233402
114,8,2,262144,false,5%,rayon-1,71635428
115,8,3,262144,false,5%,orx-1-0,71040778
116,8,4,262144,false,5%,orx-1-1,70400642
117,8,5,262144,false,5%,orx-fixed-1-0,69968924
118,8,6,262144,false,5%,orx-fixed-1-1,69910096
119,8,7,262144,false,5%,rayon-4,21289262
120,8,8,262144,false,5%,orx-4-0,21394750
121,8,9,262144,false,5%,orx-4-1,29907244
122,8,10,262144,false,5%,orx-fixed-4-0,21793919
123,8,11,262144,false,5%,orx-fixed-4-1,25573033
124,8,12,262144,false,5%,rayon-16,13586578
125,8,13,262144,false,5%,orx-16-0,11051191
126,8,14,262144,false,5%,orx-16-1,29276687
127,8,15,262144,false,5%,orx-fixed-16-0,11327409
128,8,16,262144,false,5%,orx-fixed-16-1,21004948
129,9,1,262144,false,10%,seq,130532075
130,9,2,262144,false,10%,rayon-1,130462601
131,9,3,262144,false,10%,orx-1-0,125976676
132,9,4,262144,false,10%,orx-1-1,127268461
133,9,5,262144,false,10%,orx-fixed-1-0,125129024
134,9,6,262144,false,10%,orx-fixed-1-1,124424280
135,9,7,262144,false,10%,rayon-4,37768297
136,9,8,262144,false,10%,orx-4-0,37262746
137,9,9,262144,false,10%,orx-4-1,44071046
138,9,10,262144,false,10%,orx-fixed-4-0,37625192
139,9,11,262144,false,10%,orx-fixed-4-1,41003669
140,9,12,262144,false,10%,rayon-16,22203938
141,9,13,262144,false,10%,orx-16-0,17656715
142,9,14,262144,false,10%,orx-16-1,34346170
143,9,15,262144,false,10%,orx-fixed-16-0,19916356
144,9,16,262144,false,10%,orx-fixed-16-1,28229047
145,10,1,262144,true,2%,seq,426050014
146,10,2,262144,true,2%,rayon-1,420533565
147,10,3,262144,true,2%,orx-1-0,420601467
148,10,4,262144,true,2%,orx-1-1,421113013
149,10,5,262144,true,2%,orx-fixed-1-0,423186726
150,10,6,262144,true,2%,orx-fixed-1-1,423883488
151,10,7,262144,true,2%,rayon-4,126287952
152,10,8,262144,true,2%,orx-4-0,122058523
153,10,9,262144,true,2%,orx-4-1,128863877
154,10,10,262144,true,2%,orx-fixed-4-0,126429031
155,10,11,262144,true,2%,orx-fixed-4-1,128486310
156,10,12,262144,true,2%,rayon-16,70157632
157,10,13,262144,true,2%,orx-16-0,68511379
158,10,14,262144,true,2%,orx-16-1,71998958
159,10,15,262144,true,2%,orx-fixed-16-0,72642815
160,10,16,262144,true,2%,orx-fixed-16-1,74949400
161,11,1,262144,true,5%,seq,777353301
162,11,2,262144,true,5%,rayon-1,760840042
163,11,3,262144,true,5%,orx-1-0,745935414
164,11,4,262144,true,5%,orx-1-1,752977944
165,11,5,262144,true,5%,orx-fixed-1-0,757705287
166,11,6,262144,true,5%,orx-fixed-1-1,758529828
167,11,7,262144,true,5%,rayon-4,222703267
168,11,8,262144,true,5%,orx-4-0,221350085
169,11,9,262144,true,5%,orx-4-1,225835365
170,11,10,262144,true,5%,orx-fixed-4-0,221822305
171,11,11,262144,true,5%,orx-fixed-4-1,224978225
172,11,12,262144,true,5%,rayon-16,105963880
173,11,13,262144,true,5%,orx-16-0,109081137
174,11,14,262144,true,5%,orx-16-1,103828311
175,11,15,262144,true,5%,orx-fixed-16-0,105342229
176,11,16,262144,true,5%,orx-fixed-16-1,107755423
177,12,1,262144,true,10%,seq,1329423097
178,12,2,262144,true,10%,rayon-1,1318708643
179,12,3,262144,true,10%,orx-1-0,1314411599
180,12,4,262144,true,10%,orx-1-1,1300450142
181,12,5,262144,true,10%,orx-fixed-1-0,1310095394
182,12,6,262144,true,10%,orx-fixed-1-1,1304298814
183,12,7,262144,true,10%,rayon-4,381322301
184,12,8,262144,true,10%,orx-4-0,381066626
185,12,9,262144,true,10%,orx-4-1,388623002
186,12,10,262144,true,10%,orx-fixed-4-0,383941830
187,12,11,262144,true,10%,orx-fixed-4-1,439123631
188,12,12,262144,true,10%,rayon-16,178057596
189,12,13,262144,true,10%,orx-16-0,173446742
190,12,14,262144,true,10%,orx-16-1,183918576
191,12,15,262144,true,10%,orx-fixed-16-0,177687919
192,12,16,262144,true,10%,orx-fixed-16-1,171278354
