t,i,a,n,het-lvl,method,time (ns)
1,1,1,2e10,0.001,seq,5602206
2,1,2,2e10,0.001,rayon-1,5893589
3,1,3,2e10,0.001,orx-1,5862847
4,1,4,2e10,0.001,orx-fix-1,5931843
5,1,5,2e10,0.001,rayon-4,2258979
6,1,6,2e10,0.001,orx-4,2249001
7,1,7,2e10,0.001,orx-fix-4,2505425
8,1,8,2e10,0.001,rayon-16,3574423
9,1,9,2e10,0.001,orx-16,2295478
10,1,10,2e10,0.001,orx-fix-16,2596539
11,2,1,2e10,0.011,seq,7087481
12,2,2,2e10,0.011,rayon-1,7066688
13,2,3,2e10,0.011,orx-1,6716603
14,2,4,2e10,0.011,orx-fix-1,6693310
15,2,5,2e10,0.011,rayon-4,2487994
16,2,6,2e10,0.011,orx-4,2390493
17,2,7,2e10,0.011,orx-fix-4,2661079
18,2,8,2e10,0.011,rayon-16,3471992
19,2,9,2e10,0.011,orx-16,2228034
20,2,10,2e10,0.011,orx-fix-16,2143743
21,3,1,2e10,0.101,seq,7818356
22,3,2,2e10,0.101,rayon-1,7224069
23,3,3,2e10,0.101,orx-1,6929414
24,3,4,2e10,0.101,orx-fix-1,6965707
25,3,5,2e10,0.101,rayon-4,2624801
26,3,6,2e10,0.101,orx-4,2533784
27,3,7,2e10,0.101,orx-fix-4,2778983
28,3,8,2e10,0.101,rayon-16,3605807
29,3,9,2e10,0.101,orx-16,2259442
30,3,10,2e10,0.101,orx-fix-16,2167257
31,4,1,2e10,0.201,seq,8206351
32,4,2,2e10,0.201,rayon-1,7576008
33,4,3,2e10,0.201,orx-1,7234388
34,4,4,2e10,0.201,orx-fix-1,7396742
35,4,5,2e10,0.201,rayon-4,2775097
36,4,6,2e10,0.201,orx-4,2569364
37,4,7,2e10,0.201,orx-fix-4,2832143
38,4,8,2e10,0.201,rayon-16,3625542
39,4,9,2e10,0.201,orx-16,2373243
40,4,10,2e10,0.201,orx-fix-16,2272556
41,5,1,2e12,0.001,seq,104657762
42,5,2,2e12,0.001,rayon-1,97755090
43,5,3,2e12,0.001,orx-1,97382791
44,5,4,2e12,0.001,orx-fix-1,99297259
45,5,5,2e12,0.001,rayon-4,28809152
46,5,6,2e12,0.001,orx-4,28890490
47,5,7,2e12,0.001,orx-fix-4,48193607
48,5,8,2e12,0.001,rayon-16,19166094
49,5,9,2e12,0.001,orx-16,15676045
50,5,10,2e12,0.001,orx-fix-16,17144169
51,6,1,2e12,0.011,seq,104742735
52,6,2,2e12,0.011,rayon-1,97149228
53,6,3,2e12,0.011,orx-1,93864155
54,6,4,2e12,0.011,orx-fix-1,92339932
55,6,5,2e12,0.011,rayon-4,28194010
56,6,6,2e12,0.011,orx-4,28291110
57,6,7,2e12,0.011,orx-fix-4,47156781
58,6,8,2e12,0.011,rayon-16,18680499
59,6,9,2e12,0.011,orx-16,15535192
60,6,10,2e12,0.011,orx-fix-16,17322713
61,7,1,2e12,0.101,seq,100063175
62,7,2,2e12,0.101,rayon-1,95285407
63,7,3,2e12,0.101,orx-1,94931631
64,7,4,2e12,0.101,orx-fix-1,92227673
65,7,5,2e12,0.101,rayon-4,28247923
66,7,6,2e12,0.101,orx-4,29086595
67,7,7,2e12,0.101,orx-fix-4,46737600
68,7,8,2e12,0.101,rayon-16,18353590
69,7,9,2e12,0.101,orx-16,15869759
70,7,10,2e12,0.101,orx-fix-16,17753606
71,8,1,2e12,0.201,seq,102931083
72,8,2,2e12,0.201,rayon-1,97308259
73,8,3,2e12,0.201,orx-1,95057720
74,8,4,2e12,0.201,orx-fix-1,94528397
75,8,5,2e12,0.201,rayon-4,28992890
76,8,6,2e12,0.201,orx-4,29605508
77,8,7,2e12,0.201,orx-fix-4,47852546
78,8,8,2e12,0.201,rayon-16,18584104
79,8,9,2e12,0.201,orx-16,15595077
80,8,10,2e12,0.201,orx-fix-16,17704822
81,9,1,2e14,0.001,seq,1474545943
82,9,2,2e14,0.001,rayon-1,1419410199
83,9,3,2e14,0.001,orx-1,1428619552
84,9,4,2e14,0.001,orx-fix-1,1426483564
85,9,5,2e14,0.001,rayon-4,444447621
86,9,6,2e14,0.001,orx-4,443466827
87,9,7,2e14,0.001,orx-fix-4,514740236
88,9,8,2e14,0.001,rayon-16,192021717
89,9,9,2e14,0.001,orx-16,198873128
90,9,10,2e14,0.001,orx-fix-16,287894304
91,10,1,2e14,0.011,seq,1432888106
92,10,2,2e14,0.011,rayon-1,1422556724
93,10,3,2e14,0.011,orx-1,1415435321
94,10,4,2e14,0.011,orx-fix-1,1423856186
95,10,5,2e14,0.011,rayon-4,440822483
96,10,6,2e14,0.011,orx-4,445854985
97,10,7,2e14,0.011,orx-fix-4,516986280
98,10,8,2e14,0.011,rayon-16,191798474
99,10,9,2e14,0.011,orx-16,198546057
100,10,10,2e14,0.011,orx-fix-16,284671419
101,11,1,2e14,0.101,seq,1431918086
102,11,2,2e14,0.101,rayon-1,1423113768
103,11,3,2e14,0.101,orx-1,1452563596
104,11,4,2e14,0.101,orx-fix-1,1421680045
105,11,5,2e14,0.101,rayon-4,439530998
106,11,6,2e14,0.101,orx-4,441090412
107,11,7,2e14,0.101,orx-fix-4,517546221
108,11,8,2e14,0.101,rayon-16,190666126
109,11,9,2e14,0.101,orx-16,195726087
110,11,10,2e14,0.101,orx-fix-16,289743062
111,12,1,2e14,0.201,seq,1445421931
112,12,2,2e14,0.201,rayon-1,1425354865
113,12,3,2e14,0.201,orx-1,1434212844
114,12,4,2e14,0.201,orx-fix-1,1429908044
115,12,5,2e14,0.201,rayon-4,441492563
116,12,6,2e14,0.201,orx-4,447810618
117,12,7,2e14,0.201,orx-fix-4,521592740
118,12,8,2e14,0.201,rayon-16,190665220
119,12,9,2e14,0.201,orx-16,201242722
120,12,10,2e14,0.201,orx-fix-16,288791412
