t,i,a,n,het-lvl,method,time (ns)
1,1,1,2e10,0.001,seq,6039936
2,1,2,2e10,0.001,rayon-1,6124212
3,1,3,2e10,0.001,orx-1,5915695
4,1,4,2e10,0.001,orx-fix-1,5973937
5,1,5,2e10,0.001,rayon-4,2197486
6,1,6,2e10,0.001,orx-4,2180965
7,1,7,2e10,0.001,orx-fix-4,2415544
8,1,8,2e10,0.001,rayon-16,2922725
9,1,9,2e10,0.001,orx-16,1867113
10,1,10,2e10,0.001,orx-fix-16,1877861
11,2,1,2e10,0.011,seq,7098297
12,2,2,2e10,0.011,rayon-1,6834544
13,2,3,2e10,0.011,orx-1,6606996
14,2,4,2e10,0.011,orx-fix-1,6590158
15,2,5,2e10,0.011,rayon-4,2427432
16,2,6,2e10,0.011,orx-4,2354507
17,2,7,2e10,0.011,orx-fix-4,2571535
18,2,8,2e10,0.011,rayon-16,3120234
19,2,9,2e10,0.011,orx-16,1905585
20,2,10,2e10,0.011,orx-fix-16,1964804
21,3,1,2e10,0.101,seq,7612090
22,3,2,2e10,0.101,rayon-1,7862743
23,3,3,2e10,0.101,orx-1,7286386
24,3,4,2e10,0.101,orx-fix-1,7087908
25,3,5,2e10,0.101,rayon-4,2662957
26,3,6,2e10,0.101,orx-4,2508654
27,3,7,2e10,0.101,orx-fix-4,2806761
28,3,8,2e10,0.101,rayon-16,3331718
29,3,9,2e10,0.101,orx-16,2101005
30,3,10,2e10,0.101,orx-fix-16,2195984
31,4,1,2e10,0.201,seq,8375089
32,4,2,2e10,0.201,rayon-1,8085725
33,4,3,2e10,0.201,orx-1,7878070
34,4,4,2e10,0.201,orx-fix-1,7773107
35,4,5,2e10,0.201,rayon-4,2858666
36,4,6,2e10,0.201,orx-4,2714691
37,4,7,2e10,0.201,orx-fix-4,2985537
38,4,8,2e10,0.201,rayon-16,4429581
39,4,9,2e10,0.201,orx-16,2252379
40,4,10,2e10,0.201,orx-fix-16,2130799
41,5,1,2e12,0.001,seq,116413133
42,5,2,2e12,0.001,rayon-1,132280987
43,5,3,2e12,0.001,orx-1,116099808
44,5,4,2e12,0.001,orx-fix-1,123382126
45,5,5,2e12,0.001,rayon-4,32120069
46,5,6,2e12,0.001,orx-4,31996847
47,5,7,2e12,0.001,orx-fix-4,52735301
48,5,8,2e12,0.001,rayon-16,20424412
49,5,9,2e12,0.001,orx-16,16071999
50,5,10,2e12,0.001,orx-fix-16,17110346
51,6,1,2e12,0.011,seq,110916954
52,6,2,2e12,0.011,rayon-1,112801095
53,6,3,2e12,0.011,orx-1,107643776
54,6,4,2e12,0.011,orx-fix-1,110607378
55,6,5,2e12,0.011,rayon-4,33741215
56,6,6,2e12,0.011,orx-4,32342023
57,6,7,2e12,0.011,orx-fix-4,57237456
58,6,8,2e12,0.011,rayon-16,17985930
59,6,9,2e12,0.011,orx-16,15125837
60,6,10,2e12,0.011,orx-fix-16,16588648
61,7,1,2e12,0.101,seq,114959357
62,7,2,2e12,0.101,rayon-1,110248313
63,7,3,2e12,0.101,orx-1,111222178
64,7,4,2e12,0.101,orx-fix-1,103599193
65,7,5,2e12,0.101,rayon-4,32163400
66,7,6,2e12,0.101,orx-4,31978953
67,7,7,2e12,0.101,orx-fix-4,53268830
68,7,8,2e12,0.101,rayon-16,20125370
69,7,9,2e12,0.101,orx-16,17120576
70,7,10,2e12,0.101,orx-fix-16,18459073
71,8,1,2e12,0.201,seq,109652334
72,8,2,2e12,0.201,rayon-1,107596566
