method,num_threads,n,heavy,het,time (ns)
seq,4,4096,false,2%,675616
seq,4,4096,false,5%,1283605
seq,4,4096,false,10%,2211091
seq,4,4096,true,2%,7820570
seq,4,4096,true,5%,13781094
seq,4,4096,true,10%,21791054
seq,4,262144,false,2%,38700820
seq,4,262144,false,5%,73269806
seq,4,262144,false,10%,134110129
seq,4,262144,true,2%,433527013
seq,4,262144,true,5%,759236780
seq,4,262144,true,10%,1326608204
seq,8,4096,false,2%,563999
seq,8,4096,false,5%,1097307
seq,8,4096,false,10%,1876850
seq,8,4096,true,2%,6668468
seq,8,4096,true,5%,11768281
seq,8,4096,true,10%,19701859
seq,8,262144,false,2%,35376535
seq,8,262144,false,5%,68792755
seq,8,262144,false,10%,123359483
seq,8,262144,true,2%,414873274
seq,8,262144,true,5%,755493179
seq,8,262144,true,10%,1307881148
seq,16,4096,false,2%,532475
seq,16,4096,false,5%,1072185
seq,16,4096,false,10%,1814593
seq,16,4096,true,2%,6491927
seq,16,4096,true,5%,11587639
seq,16,4096,true,10%,19334640
seq,16,262144,false,2%,34806904
seq,16,262144,false,5%,67740038
seq,16,262144,false,10%,121877371
seq,16,262144,true,2%,413914971
seq,16,262144,true,5%,757584018
seq,16,262144,true,10%,1294772083
orx-once,4,4096,false,2%,377140
orx-once,4,4096,false,5%,487680
orx-once,4,4096,false,10%,697191
orx-once,4,4096,true,2%,2126511
orx-once,4,4096,true,5%,3579124
orx-once,4,4096,true,10%,5931646
orx-once,4,262144,false,2%,10956042
orx-once,4,262144,false,5%,22100106
orx-once,4,262144,false,10%,38741803
orx-once,4,262144,true,2%,134509311
orx-once,4,262144,true,5%,242177716
orx-once,4,262144,true,10%,431262574
orx-once,8,4096,false,2%,493196
orx-once,8,4096,false,5%,508102
orx-once,8,4096,false,10%,670256
orx-once,8,4096,true,2%,1626037
orx-once,8,4096,true,5%,2667367
orx-once,8,4096,true,10%,4332964
orx-once,8,262144,false,2%,7918147
orx-once,8,262144,false,5%,14936346
orx-once,8,262144,false,10%,26723224
orx-once,8,262144,true,2%,88538836
orx-once,8,262144,true,5%,158163680
orx-once,8,262144,true,10%,279326360
orx-once,16,4096,false,2%,1119782
orx-once,16,4096,false,5%,1101507
orx-once,16,4096,false,10%,1308203
orx-once,16,4096,true,2%,1962146
orx-once,16,4096,true,5%,2701814
orx-once,16,4096,true,10%,3826370
orx-once,16,262144,false,2%,6575586
orx-once,16,262144,false,5%,11721143
orx-once,16,262144,false,10%,20524614
orx-once,16,262144,true,2%,66833822
orx-once,16,262144,true,5%,120226140
orx-once,16,262144,true,10%,207723037
orx-basic,4,4096,false,2%,386340
orx-basic,4,4096,false,5%,571618
orx-basic,4,4096,false,10%,858654
orx-basic,4,4096,true,2%,2533111
orx-basic,4,4096,true,5%,4315488
orx-basic,4,4096,true,10%,6969304
orx-basic,4,262144,false,2%,12454441
orx-basic,4,262144,false,5%,23977969
orx-basic,4,262144,false,10%,42054909
orx-basic,4,262144,true,2%,141480706
orx-basic,4,262144,true,5%,258292101
orx-basic,4,262144,true,10%,427097111
orx-basic,8,4096,false,2%,299731
orx-basic,8,4096,false,5%,351772
orx-basic,8,4096,false,10%,426817
orx-basic,8,4096,true,2%,1432515
orx-basic,8,4096,true,5%,2453529
orx-basic,8,4096,true,10%,4169897
orx-basic,8,262144,false,2%,7573837
orx-basic,8,262144,false,5%,14482092
orx-basic,8,262144,false,10%,26490823
orx-basic,8,262144,true,2%,88987419
orx-basic,8,262144,true,5%,160419697
orx-basic,8,262144,true,10%,278608279
orx-basic,16,4096,false,2%,249588
orx-basic,16,4096,false,5%,405450
orx-basic,16,4096,false,10%,535158
orx-basic,16,4096,true,2%,1297015
orx-basic,16,4096,true,5%,2085074
orx-basic,16,4096,true,10%,3411380
orx-basic,16,262144,false,2%,5918770
orx-basic,16,262144,false,5%,10978294
orx-basic,16,262144,false,10%,19533377
orx-basic,16,262144,true,2%,65559067
orx-basic,16,262144,true,5%,118561343
orx-basic,16,262144,true,10%,208337276
orx-rayon,4,4096,false,2%,394357
orx-rayon,4,4096,false,5%,644814
orx-rayon,4,4096,false,10%,834377
orx-rayon,4,4096,true,2%,2722049
orx-rayon,4,4096,true,5%,4503262
orx-rayon,4,4096,true,10%,7170149
orx-rayon,4,262144,false,2%,12892208
orx-rayon,4,262144,false,5%,24482343
orx-rayon,4,262144,false,10%,43058702
orx-rayon,4,262144,true,2%,141489526
orx-rayon,4,262144,true,5%,247397445
orx-rayon,4,262144,true,10%,427747175
orx-rayon,8,4096,false,2%,414381
orx-rayon,8,4096,false,5%,490104
orx-rayon,8,4096,false,10%,605344
orx-rayon,8,4096,true,2%,1647353
orx-rayon,8,4096,true,5%,2665379
orx-rayon,8,4096,true,10%,4284309
orx-rayon,8,262144,false,2%,7980457
orx-rayon,8,262144,false,5%,14768125
orx-rayon,8,262144,false,10%,26851137
orx-rayon,8,262144,true,2%,89545918
orx-rayon,8,262144,true,5%,160378522
orx-rayon,8,262144,true,10%,279285466
orx-rayon,16,4096,false,2%,862435
orx-rayon,16,4096,false,5%,882161
orx-rayon,16,4096,false,10%,1101859
orx-rayon,16,4096,true,2%,1670312
orx-rayon,16,4096,true,5%,2394584
orx-rayon,16,4096,true,10%,3537280
orx-rayon,16,262144,false,2%,6207128
orx-rayon,16,262144,false,5%,11354778
orx-rayon,16,262144,false,10%,19589083
orx-rayon,16,262144,true,2%,66314931
orx-rayon,16,262144,true,5%,120752810
orx-rayon,16,262144,true,10%,211974535
rayon,4,4096,false,2%,329593
rayon,4,4096,false,5%,561332
rayon,4,4096,false,10%,860933
rayon,4,4096,true,2%,2771048
rayon,4,4096,true,5%,4672892
rayon,4,4096,true,10%,7635434
rayon,4,262144,false,2%,13251441
rayon,4,262144,false,5%,25021206
rayon,4,262144,false,10%,43894787
rayon,4,262144,true,2%,144641317
rayon,4,262144,true,5%,282208924
rayon,4,262144,true,10%,437274936
rayon,8,4096,false,2%,1280930
rayon,8,4096,false,5%,1227077
rayon,8,4096,false,10%,626511
rayon,8,4096,true,2%,2027489
rayon,8,4096,true,5%,3181815
rayon,8,4096,true,10%,4874501
rayon,8,262144,false,2%,8076519
rayon,8,262144,false,5%,15026573
rayon,8,262144,false,10%,27625518
rayon,8,262144,true,2%,92067879
rayon,8,262144,true,5%,162022989
rayon,8,262144,true,10%,279984264
rayon,16,4096,false,2%,2902030
rayon,16,4096,false,5%,2894095
rayon,16,4096,false,10%,2983606
rayon,16,4096,true,2%,3334086
rayon,16,4096,true,5%,3619853
rayon,16,4096,true,10%,4831773
rayon,16,262144,false,2%,6883367
rayon,16,262144,false,5%,11954052
rayon,16,262144,false,10%,20336360
rayon,16,262144,true,2%,68834877
rayon,16,262144,true,5%,122502595
rayon,16,262144,true,10%,211135331
