method,num_threads,n,het-lvl,time (ns)
seq,4,2e10,0.001,7291077
seq,4,2e10,0.011,7158509
seq,4,2e10,0.101,7773271
seq,4,2e10,0.201,8515635
seq,4,2e12,0.001,105712072
seq,4,2e12,0.011,101914277
seq,4,2e12,0.101,103470678
seq,4,2e12,0.201,105442438
seq,4,2e14,0.001,1545017535
seq,4,2e14,0.011,1557886727
seq,4,2e14,0.101,1658364571
seq,4,2e14,0.201,1709176058
seq,8,2e10,0.001,6915381
seq,8,2e10,0.011,6996051
seq,8,2e10,0.101,7860115
seq,8,2e10,0.201,8681142
seq,8,2e12,0.001,107500590
seq,8,2e12,0.011,108566937
seq,8,2e12,0.101,111267289
seq,8,2e12,0.201,114185320
seq,8,2e14,0.001,1710817759
seq,8,2e14,0.011,1618472990
seq,8,2e14,0.101,1636683684
seq,8,2e14,0.201,1645841332
seq,16,2e10,0.001,6496900
seq,16,2e10,0.011,6821832
seq,16,2e10,0.101,7404994
seq,16,2e10,0.201,8180683
seq,16,2e12,0.001,101866246
seq,16,2e12,0.011,102182727
seq,16,2e12,0.101,105405153
seq,16,2e12,0.201,116484686
seq,16,2e14,0.001,1627376116
seq,16,2e14,0.011,1604087359
seq,16,2e14,0.101,1634096231
seq,16,2e14,0.201,1647834653
orx-once,4,2e10,0.001,2075156
orx-once,4,2e10,0.011,2091849
orx-once,4,2e10,0.101,2372172
orx-once,4,2e10,0.201,2685622
orx-once,4,2e12,0.001,33994443
orx-once,4,2e12,0.011,35007888
orx-once,4,2e12,0.101,36821575
orx-once,4,2e12,0.201,38491551
orx-once,4,2e14,0.001,570363246
orx-once,4,2e14,0.011,578993021
orx-once,4,2e14,0.101,604341785
orx-once,4,2e14,0.201,590405108
orx-once,8,2e10,0.001,1770396
orx-once,8,2e10,0.011,1904061
orx-once,8,2e10,0.101,2208567
orx-once,8,2e10,0.201,2411639
orx-once,8,2e12,0.001,26063891
orx-once,8,2e12,0.011,26434851
orx-once,8,2e12,0.101,27353424
orx-once,8,2e12,0.201,29217744
orx-once,8,2e14,0.001,419287424
orx-once,8,2e14,0.011,414482603
orx-once,8,2e14,0.101,421332590
orx-once,8,2e14,0.201,420227661
orx-once,16,2e10,0.001,1905111
orx-once,16,2e10,0.011,1845075
orx-once,16,2e10,0.101,2297743
orx-once,16,2e10,0.201,2508423
orx-once,16,2e12,0.001,18690170
orx-once,16,2e12,0.011,19380725
orx-once,16,2e12,0.101,20521894
orx-once,16,2e12,0.201,21056234
orx-once,16,2e14,0.001,311160597
orx-once,16,2e14,0.011,315703051
orx-once,16,2e14,0.101,321884059
orx-once,16,2e14,0.201,346832853
orx-basic,4,2e10,0.001,2968273
orx-basic,4,2e10,0.011,2607242
orx-basic,4,2e10,0.101,2756864
orx-basic,4,2e10,0.201,3160349
orx-basic,4,2e12,0.001,40312821
orx-basic,4,2e12,0.011,38515622
orx-basic,4,2e12,0.101,38239233
orx-basic,4,2e12,0.201,39258822
orx-basic,4,2e14,0.001,568633260
orx-basic,4,2e14,0.011,549379993
orx-basic,4,2e14,0.101,561867021
orx-basic,4,2e14,0.201,566649394
orx-basic,8,2e10,0.001,1514717
orx-basic,8,2e10,0.011,1637660
orx-basic,8,2e10,0.101,1825767
orx-basic,8,2e10,0.201,1922632
orx-basic,8,2e12,0.001,23351524
orx-basic,8,2e12,0.011,24316368
orx-basic,8,2e12,0.101,24970361
orx-basic,8,2e12,0.201,25780378
orx-basic,8,2e14,0.001,385674565
orx-basic,8,2e14,0.011,389656140
orx-basic,8,2e14,0.101,392820685
orx-basic,8,2e14,0.201,411108313
orx-basic,16,2e10,0.001,1333547
orx-basic,16,2e10,0.011,1335141
orx-basic,16,2e10,0.101,1426703
orx-basic,16,2e10,0.201,1534952
orx-basic,16,2e12,0.001,17607883
orx-basic,16,2e12,0.011,18705713
orx-basic,16,2e12,0.101,19149468
orx-basic,16,2e12,0.201,20769298
orx-basic,16,2e14,0.001,306386393
orx-basic,16,2e14,0.011,331658994
orx-basic,16,2e14,0.101,319476380
orx-basic,16,2e14,0.201,318113356
orx-rayon,4,2e10,0.001,3021881
orx-rayon,4,2e10,0.011,3066484
orx-rayon,4,2e10,0.101,3211912
orx-rayon,4,2e10,0.201,3529932
orx-rayon,4,2e12,0.001,39046202
orx-rayon,4,2e12,0.011,37696386
orx-rayon,4,2e12,0.101,38145864
orx-rayon,4,2e12,0.201,39342040
orx-rayon,4,2e14,0.001,564485940
orx-rayon,4,2e14,0.011,562000780
orx-rayon,4,2e14,0.101,564705796
orx-rayon,4,2e14,0.201,575317056
orx-rayon,8,2e10,0.001,1620302
orx-rayon,8,2e10,0.011,1737837
orx-rayon,8,2e10,0.101,2007319
orx-rayon,8,2e10,0.201,2260556
orx-rayon,8,2e12,0.001,24598965
orx-rayon,8,2e12,0.011,24935038
orx-rayon,8,2e12,0.101,26070003
orx-rayon,8,2e12,0.201,26677972
orx-rayon,8,2e14,0.001,396300993
orx-rayon,8,2e14,0.011,397642705
