method,num_threads,size,time (ns)
seq,4,small-10k,3399516
seq,4,medium-100k,37338589
seq,8,small-10k,3139418
seq,8,medium-100k,32770510
seq,16,small-10k,3116253
seq,16,medium-100k,31902232
seq,20,small-10k,3056778
seq,20,medium-100k,30869528
seq,24,small-10k,3074332
seq,24,medium-100k,30598884
seq,28,small-10k,2907032
seq,28,medium-100k,30074047
seq,32,small-10k,2843863
seq,32,medium-100k,29699580
orx-once,4,small-10k,6417969
orx-once,4,medium-100k,84652143
orx-once,8,small-10k,9999456
orx-once,8,medium-100k,123969183
orx-once,16,small-10k,11339696
orx-once,16,medium-100k,210087714
orx-once,20,small-10k,10933592
orx-once,20,medium-100k,84511857
orx-once,24,small-10k,16885698
orx-once,24,medium-100k,266954642
orx-once,28,small-10k,12961718
orx-once,28,medium-100k,193435488
orx-once,32,small-10k,13973992
orx-once,32,medium-100k,375877674
orx-basic,4,small-10k,9242731
orx-basic,4,medium-100k,97257766
orx-basic,8,small-10k,3813144
orx-basic,8,medium-100k,41073121
orx-basic,16,small-10k,1567664
orx-basic,16,medium-100k,12111147
orx-basic,20,small-10k,2906842
orx-basic,20,medium-100k,21401058
orx-basic,24,small-10k,2582809
orx-basic,24,medium-100k,19026747
orx-basic,28,small-10k,3020085
orx-basic,28,medium-100k,18923476
orx-basic,32,small-10k,4105574
orx-basic,32,medium-100k,32148786
orx-rayon,4,small-10k,9164740
orx-rayon,4,medium-100k,91530963
orx-rayon,8,small-10k,3912640
orx-rayon,8,medium-100k,36419965
orx-rayon,16,small-10k,16900296
orx-rayon,16,medium-100k,220189061
orx-rayon,20,small-10k,8730706
orx-rayon,20,medium-100k,24624728
orx-rayon,24,small-10k,5238068
orx-rayon,24,medium-100k,35126575
orx-rayon,28,small-10k,2829658
orx-rayon,28,medium-100k,17915394
orx-rayon,32,small-10k,12985027
orx-rayon,32,medium-100k,120269922
rayon,4,small-10k,10989139
rayon,4,medium-100k,108328549
rayon,8,small-10k,13067966
rayon,8,medium-100k,138863783
rayon,16,small-10k,20739716
rayon,16,medium-100k,222261642
rayon,20,small-10k,26438883
rayon,20,medium-100k,276027910
rayon,24,small-10k,31311154
rayon,24,medium-100k,315108612
rayon,28,small-10k,34659695
rayon,28,medium-100k,338606155
rayon,32,small-10k,39840151
rayon,32,medium-100k,359411388
