method,num_threads,n,time (ns)
seq,4,2e16,431435
seq,4,2e20,643497
seq,8,2e16,514272
seq,8,2e20,624687
seq,16,2e16,579552
seq,16,2e20,590967
orx-once,4,2e16,299757
orx-once,4,2e20,322475
orx-once,8,2e16,472644
orx-once,8,2e20,747596
orx-once,16,2e16,1315388
orx-once,16,2e20,1298334
orx-basic,4,2e16,241237
orx-basic,4,2e20,278736
orx-basic,8,2e16,179396
orx-basic,8,2e20,200156
orx-basic,16,2e16,284522
orx-basic,16,2e20,302804
orx-rayon,4,2e16,288398
orx-rayon,4,2e20,294942
orx-rayon,8,2e16,361998
orx-rayon,8,2e20,368736
orx-rayon,16,2e16,847846
orx-rayon,16,2e20,967526
rayon,4,2e16,260964
rayon,4,2e20,323599
rayon,8,2e16,330309
rayon,8,2e20,338722
rayon,16,2e16,722511
rayon,16,2e20,739222
