t,i,a,n,r,ch,w,method,time (ns)
1,1,1,10000,20,6,250,seq,36307453
2,1,2,10000,20,6,250,rayon-1,34073117
3,1,3,10000,20,6,250,orx-1-0,32352959
4,1,4,10000,20,6,250,orx-1-1,31339781
5,1,5,10000,20,6,250,orx-1-1024,31142871
6,1,6,10000,20,6,250,orx-fixed-1-0,31170806
7,1,7,10000,20,6,250,orx-fixed-1-1,31091059
8,1,8,10000,20,6,250,orx-fixed-1-1024,30510438
9,1,9,10000,20,6,250,orx-lin-1-0,31694801
10,1,10,10000,20,6,250,orx-lin-1-1,31886844
11,1,11,10000,20,6,250,orx-lin-1-1024,34260262
12,1,12,10000,20,6,250,rayon-4,10592947
13,1,13,10000,20,6,250,orx-4-0,9517835
14,1,14,10000,20,6,250,orx-4-1,9143144
15,1,15,10000,20,6,250,orx-4-1024,10891188
16,1,16,10000,20,6,250,orx-fixed-4-0,7993653
17,1,17,10000,20,6,250,orx-fixed-4-1,7858572
18,1,18,10000,20,6,250,orx-fixed-4-1024,11398432
19,1,19,10000,20,6,250,orx-lin-4-0,10124974
20,1,20,10000,20,6,250,orx-lin-4-1,10095771
21,1,21,10000,20,6,250,orx-lin-4-1024,9913366
22,1,22,10000,20,6,250,rayon-16,6581683
23,1,23,10000,20,6,250,orx-16-0,5139148
24,1,24,10000,20,6,250,orx-16-1,5129972
25,1,25,10000,20,6,250,orx-16-1024,6703819
26,1,26,10000,20,6,250,orx-fixed-16-0,4759523
27,1,27,10000,20,6,250,orx-fixed-16-1,4728561
28,1,28,10000,20,6,250,orx-fixed-16-1024,6601221
29,1,29,10000,20,6,250,orx-lin-16-0,7317815
30,1,30,10000,20,6,250,orx-lin-16-1,7792284
31,1,31,10000,20,6,250,orx-lin-16-1024,7241681
32,2,1,40000,50,8,250,seq,158751597
33,2,2,40000,50,8,250,rayon-1,130885955
34,2,3,40000,50,8,250,orx-1-0,122531402
35,2,4,40000,50,8,250,orx-1-1,119204127
36,2,5,40000,50,8,250,orx-1-1024,120396433
37,2,6,40000,50,8,250,orx-fixed-1-0,124390609
38,2,7,40000,50,8,250,orx-fixed-1-1,126004960
39,2,8,40000,50,8,250,orx-fixed-1-1024,119198659
40,2,9,40000,50,8,250,orx-lin-1-0,124931551
41,2,10,40000,50,8,250,orx-lin-1-1,127636604
42,2,11,40000,50,8,250,orx-lin-1-1024,124935103
43,2,12,40000,50,8,250,rayon-4,38291295
44,2,13,40000,50,8,250,orx-4-0,33431117
45,2,14,40000,50,8,250,orx-4-1,33858228
46,2,15,40000,50,8,250,orx-4-1024,35733986
47,2,16,40000,50,8,250,orx-fixed-4-0,30213551
48,2,17,40000,50,8,250,orx-fixed-4-1,30866539
49,2,18,40000,50,8,250,orx-fixed-4-1024,35927514
50,2,19,40000,50,8,250,orx-lin-4-0,34969115
51,2,20,40000,50,8,250,orx-lin-4-1,35520121
52,2,21,40000,50,8,250,orx-lin-4-1024,34582064
53,2,22,40000,50,8,250,rayon-16,20865365
54,2,23,40000,50,8,250,orx-16-0,19919577
55,2,24,40000,50,8,250,orx-16-1,16503455
56,2,25,40000,50,8,250,orx-16-1024,21755633
57,2,26,40000,50,8,250,orx-fixed-16-0,17118554
58,2,27,40000,50,8,250,orx-fixed-16-1,16338639
59,2,28,40000,50,8,250,orx-fixed-16-1024,20677470
60,2,29,40000,50,8,250,orx-lin-16-0,19944866
61,2,30,40000,50,8,250,orx-lin-16-1,21208584
62,2,31,40000,50,8,250,orx-lin-16-1024,20511216
