t,i,a,n,r,ch,w,method,time (ns)
1,1,1,10000,20,6,250,seq,33094435
2,1,2,10000,20,6,250,rayon-1,29661295
3,1,3,10000,20,6,250,orx-1-0,35039751
4,1,4,10000,20,6,250,orx-1-1,33560305
5,1,5,10000,20,6,250,orx-1-1024,33091321
6,1,6,10000,20,6,250,orx-fixed-1-0,32929811
7,1,7,10000,20,6,250,orx-fixed-1-1,33800239
8,1,8,10000,20,6,250,orx-fixed-1-1024,33611283
9,1,9,10000,20,6,250,orx-lin-1-0,32791406
10,1,10,10000,20,6,250,orx-lin-1-1,34152227
11,1,11,10000,20,6,250,orx-lin-1-1024,33008483
12,1,12,10000,20,6,250,rayon-4,8119550
13,1,13,10000,20,6,250,orx-4-0,9108691
14,1,14,10000,20,6,250,orx-4-1,8534336
15,1,15,10000,20,6,250,orx-4-1024,10339966
16,1,16,10000,20,6,250,orx-fixed-4-0,7606065
17,1,17,10000,20,6,250,orx-fixed-4-1,7783449
18,1,18,10000,20,6,250,orx-fixed-4-1024,10582152
19,1,19,10000,20,6,250,orx-lin-4-0,9203694
20,1,20,10000,20,6,250,orx-lin-4-1,9150009
21,1,21,10000,20,6,250,orx-lin-4-1024,9399573
22,1,22,10000,20,6,250,rayon-16,6016081
23,1,23,10000,20,6,250,orx-16-0,4991873
24,1,24,10000,20,6,250,orx-16-1,4887242
25,1,25,10000,20,6,250,orx-16-1024,6362642
26,1,26,10000,20,6,250,orx-fixed-16-0,4576265
27,1,27,10000,20,6,250,orx-fixed-16-1,4581668
28,1,28,10000,20,6,250,orx-fixed-16-1024,6117055
29,1,29,10000,20,6,250,orx-lin-16-0,6820412
30,1,30,10000,20,6,250,orx-lin-16-1,7009527
31,1,31,10000,20,6,250,orx-lin-16-1024,6751773
32,2,1,40000,50,8,250,seq,129006659
33,2,2,40000,50,8,250,rayon-1,110701822
34,2,3,40000,50,8,250,orx-1-0,131475302
35,2,4,40000,50,8,250,orx-1-1,128580109
36,2,5,40000,50,8,250,orx-1-1024,136752266
37,2,6,40000,50,8,250,orx-fixed-1-0,131971545
38,2,7,40000,50,8,250,orx-fixed-1-1,126708838
39,2,8,40000,50,8,250,orx-fixed-1-1024,126595151
40,2,9,40000,50,8,250,orx-lin-1-0,128648467
41,2,10,40000,50,8,250,orx-lin-1-1,129178651
42,2,11,40000,50,8,250,orx-lin-1-1024,129115596
43,2,12,40000,50,8,250,rayon-4,31671547
44,2,13,40000,50,8,250,orx-4-0,33892364
45,2,14,40000,50,8,250,orx-4-1,33522581
46,2,15,40000,50,8,250,orx-4-1024,37104768
47,2,16,40000,50,8,250,orx-fixed-4-0,30880968
48,2,17,40000,50,8,250,orx-fixed-4-1,30396371
49,2,18,40000,50,8,250,orx-fixed-4-1024,36882116
50,2,19,40000,50,8,250,orx-lin-4-0,35400517
51,2,20,40000,50,8,250,orx-lin-4-1,35223563
52,2,21,40000,50,8,250,orx-lin-4-1024,34455368
53,2,22,40000,50,8,250,rayon-16,17979631
54,2,23,40000,50,8,250,orx-16-0,18307804
55,2,24,40000,50,8,250,orx-16-1,18570997
56,2,25,40000,50,8,250,orx-16-1024,20595943
57,2,26,40000,50,8,250,orx-fixed-16-0,17409234
58,2,27,40000,50,8,250,orx-fixed-16-1,17173388
59,2,28,40000,50,8,250,orx-fixed-16-1024,20886719
60,2,29,40000,50,8,250,orx-lin-16-0,19802727
61,2,30,40000,50,8,250,orx-lin-16-1,20815073
62,2,31,40000,50,8,250,orx-lin-16-1024,19635603
