t,i,a,depth,topology,method,time (ns)
1,1,1,depth10,skewed,seq,11975
2,1,2,depth10,skewed,rayon-1,93060
3,1,3,depth10,skewed,orx-1,45151
4,1,4,depth10,skewed,orx-fixed-1,53503
5,1,5,depth10,skewed,orx-lin-1,51249
6,1,6,depth10,skewed,orx-fixed-lin-1,68834
7,1,7,depth10,skewed,rayon-4,332513
8,1,8,depth10,skewed,orx-4,209983
9,1,9,depth10,skewed,orx-fixed-4,237922
10,1,10,depth10,skewed,orx-lin-4,436172
11,1,11,depth10,skewed,orx-fixed-lin-4,518695
12,1,12,depth10,skewed,rayon-16,3739206
13,1,13,depth10,skewed,orx-16,858169
14,1,14,depth10,skewed,orx-fixed-16,798771
15,1,15,depth10,skewed,orx-lin-16,1569508
16,1,16,depth10,skewed,orx-fixed-lin-16,1490596
17,2,1,depth10,balanced,seq,11571820
18,2,2,depth10,balanced,rayon-1,13488649
19,2,3,depth10,balanced,orx-1,14747194
20,2,4,depth10,balanced,orx-fixed-1,14356105
21,2,5,depth10,balanced,orx-lin-1,14004186
22,2,6,depth10,balanced,orx-fixed-lin-1,14864109
23,2,7,depth10,balanced,rayon-4,5267960
24,2,8,depth10,balanced,orx-4,7228102
25,2,9,depth10,balanced,orx-fixed-4,10473166
26,2,10,depth10,balanced,orx-lin-4,10307780
27,2,11,depth10,balanced,orx-fixed-lin-4,11833677
28,2,12,depth10,balanced,rayon-16,5195957
29,2,13,depth10,balanced,orx-16,10881719
30,2,14,depth10,balanced,orx-fixed-16,15833942
31,2,15,depth10,balanced,orx-lin-16,13162735
32,2,16,depth10,balanced,orx-fixed-lin-16,14707057
33,3,1,depth12,skewed,seq,14560
34,3,2,depth12,skewed,rayon-1,98180
35,3,3,depth12,skewed,orx-1,48878
36,3,4,depth12,skewed,orx-fixed-1,57104
37,3,5,depth12,skewed,orx-lin-1,54101
38,3,6,depth12,skewed,orx-fixed-lin-1,71889
39,3,7,depth12,skewed,rayon-4,338456
40,3,8,depth12,skewed,orx-4,233050
41,3,9,depth12,skewed,orx-fixed-4,229325
42,3,10,depth12,skewed,orx-lin-4,444117
43,3,11,depth12,skewed,orx-fixed-lin-4,430394
44,3,12,depth12,skewed,rayon-16,3634741
45,3,13,depth12,skewed,orx-16,776792
46,3,14,depth12,skewed,orx-fixed-16,806148
47,3,15,depth12,skewed,orx-lin-16,1467077
48,3,16,depth12,skewed,orx-fixed-lin-16,1418698
49,4,1,depth12,balanced,seq,100066726
50,4,2,depth12,balanced,rayon-1,114046064
51,4,3,depth12,balanced,orx-1,131898171
52,4,4,depth12,balanced,orx-fixed-1,132083022
53,4,5,depth12,balanced,orx-lin-1,118572077
54,4,6,depth12,balanced,orx-fixed-lin-1,118085306
55,4,7,depth12,balanced,rayon-4,37041960
56,4,8,depth12,balanced,orx-4,57080298
57,4,9,depth12,balanced,orx-fixed-4,84400100
58,4,10,depth12,balanced,orx-lin-4,88148235
59,4,11,depth12,balanced,orx-fixed-lin-4,99704365
60,4,12,depth12,balanced,rayon-16,22477988
61,4,13,depth12,balanced,orx-16,71807978
62,4,14,depth12,balanced,orx-fixed-16,111006042
63,4,15,depth12,balanced,orx-lin-16,80446210
64,4,16,depth12,balanced,orx-fixed-lin-16,101279097
