t,i,a,depth,topology,method,time (ns)
1,1,1,depth10,skewed,seq,12762
2,1,2,depth10,skewed,rayon-1,106499
3,1,3,depth10,skewed,orx-1,37986
4,1,4,depth10,skewed,orx-fixed-1,38634
5,1,5,depth10,skewed,orx-lin-1,34441
6,1,6,depth10,skewed,orx-fixed-lin-1,34275
7,1,7,depth10,skewed,rayon-4,358251
8,1,8,depth10,skewed,orx-4,232459
9,1,9,depth10,skewed,orx-fixed-4,213861
10,1,10,depth10,skewed,orx-lin-4,407139
11,1,11,depth10,skewed,orx-fixed-lin-4,385151
12,1,12,depth10,skewed,rayon-16,3400012
13,1,13,depth10,skewed,orx-16,724979
14,1,14,depth10,skewed,orx-fixed-16,758626
15,1,15,depth10,skewed,orx-lin-16,1596527
16,1,16,depth10,skewed,orx-fixed-lin-16,1374892
17,2,1,depth10,balanced,seq,11599965
18,2,2,depth10,balanced,rayon-1,14012970
19,2,3,depth10,balanced,orx-1,14437303
20,2,4,depth10,balanced,orx-fixed-1,14740883
21,2,5,depth10,balanced,orx-lin-1,12546167
22,2,6,depth10,balanced,orx-fixed-lin-1,12574670
23,2,7,depth10,balanced,rayon-4,4987998
24,2,8,depth10,balanced,orx-4,6855986
25,2,9,depth10,balanced,orx-fixed-4,10326378
26,2,10,depth10,balanced,orx-lin-4,10788248
27,2,11,depth10,balanced,orx-fixed-lin-4,11725031
28,2,12,depth10,balanced,rayon-16,5751064
29,2,13,depth10,balanced,orx-16,10650936
30,2,14,depth10,balanced,orx-fixed-16,16124597
31,2,15,depth10,balanced,orx-lin-16,20255545
32,2,16,depth10,balanced,orx-fixed-lin-16,28851909
33,3,1,depth12,skewed,seq,15887
34,3,2,depth12,skewed,rayon-1,117695
35,3,3,depth12,skewed,orx-1,49330
36,3,4,depth12,skewed,orx-fixed-1,44062
37,3,5,depth12,skewed,orx-lin-1,58617
38,3,6,depth12,skewed,orx-fixed-lin-1,46572
39,3,7,depth12,skewed,rayon-4,384944
40,3,8,depth12,skewed,orx-4,273417
41,3,9,depth12,skewed,orx-fixed-4,243617
42,3,10,depth12,skewed,orx-lin-4,428225
43,3,11,depth12,skewed,orx-fixed-lin-4,976999
44,3,12,depth12,skewed,rayon-16,9006926
45,3,13,depth12,skewed,orx-16,1186772
46,3,14,depth12,skewed,orx-fixed-16,1036526
47,3,15,depth12,skewed,orx-lin-16,1740815
48,3,16,depth12,skewed,orx-fixed-lin-16,1956718
49,4,1,depth12,balanced,seq,110602918
50,4,2,depth12,balanced,rayon-1,139604981
51,4,3,depth12,balanced,orx-1,144284527
52,4,4,depth12,balanced,orx-fixed-1,139411478
53,4,5,depth12,balanced,orx-lin-1,126265312
54,4,6,depth12,balanced,orx-fixed-lin-1,129803740
55,4,7,depth12,balanced,rayon-4,44528522
56,4,8,depth12,balanced,orx-4,57752581
57,4,9,depth12,balanced,orx-fixed-4,83858938
58,4,10,depth12,balanced,orx-lin-4,82622694
59,4,11,depth12,balanced,orx-fixed-lin-4,106040425
60,4,12,depth12,balanced,rayon-16,26882337
61,4,13,depth12,balanced,orx-16,90826637
62,4,14,depth12,balanced,orx-fixed-16,165677043
63,4,15,depth12,balanced,orx-lin-16,102680089
64,4,16,depth12,balanced,orx-fixed-lin-16,130505709
