method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,5154332
seq,4,2e16,light,149612
seq,4,2e20,heavy,76619084
seq,4,2e20,light,2433103
seq,8,2e16,heavy,4480935
seq,8,2e16,light,131850
seq,8,2e20,heavy,74239981
seq,8,2e20,light,2345678
seq,16,2e16,heavy,4399249
seq,16,2e16,light,135813
seq,16,2e20,heavy,70100992
seq,16,2e20,light,2257634
rayon,4,2e16,heavy,1433437
rayon,4,2e16,light,164426
rayon,4,2e20,heavy,21069082
rayon,4,2e20,light,874673
rayon,8,2e16,heavy,1397450
rayon,8,2e16,light,320067
rayon,8,2e20,heavy,13681878
rayon,8,2e20,light,703376
rayon,16,2e16,heavy,4036362
rayon,16,2e16,light,3631124
rayon,16,2e20,heavy,9641060
rayon,16,2e20,light,1632628
orx-once,4,2e16,heavy,1591079
orx-once,4,2e16,light,261204
orx-once,4,2e20,heavy,22791817
orx-once,4,2e20,light,1037279
orx-once,8,2e16,heavy,1219032
orx-once,8,2e16,light,480627
orx-once,8,2e20,heavy,14461195
orx-once,8,2e20,light,882595
orx-once,16,2e16,heavy,1528748
orx-once,16,2e16,light,764354
orx-once,16,2e20,heavy,9544466
orx-once,16,2e20,light,19483807
orx-basic,4,2e16,heavy,1663723
orx-basic,4,2e16,light,144541
orx-basic,4,2e20,heavy,23880810
orx-basic,4,2e20,light,1683893
orx-basic,8,2e16,heavy,1035838
orx-basic,8,2e16,light,144106
orx-basic,8,2e20,heavy,15296718
orx-basic,8,2e20,light,669907
orx-basic,16,2e16,heavy,922097
orx-basic,16,2e16,light,282814
orx-basic,16,2e20,heavy,9075816
orx-basic,16,2e20,light,617625
orx-rayon,4,2e16,heavy,1591407
orx-rayon,4,2e16,light,196812
orx-rayon,4,2e20,heavy,23649612
orx-rayon,4,2e20,light,1014217
orx-rayon,8,2e16,heavy,1086730
orx-rayon,8,2e16,light,391598
orx-rayon,8,2e20,heavy,14829628
orx-rayon,8,2e20,light,904219
orx-rayon,16,2e16,heavy,1433060
orx-rayon,16,2e16,light,785289
orx-rayon,16,2e20,heavy,9296150
orx-rayon,16,2e20,light,1975342
