t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,22614
2,1,2,2e15,light,rayon-1,113983
3,1,3,2e15,light,rayon-red-with-1,123016
4,1,4,2e15,light,orx-1,22824
5,1,5,2e15,light,orx-fixed-1,23079
6,1,6,2e15,light,rayon-4,424312
7,1,7,2e15,light,rayon-red-with-4,389654
8,1,8,2e15,light,orx-4,274072
9,1,9,2e15,light,orx-fixed-4,206423
10,1,10,2e15,light,rayon-16,7355433
11,1,11,2e15,light,rayon-red-with-16,6651205
12,1,12,2e15,light,orx-16,1273274
13,1,13,2e15,light,orx-fixed-16,1165706
14,2,1,2e20,light,seq,1866632
15,2,2,2e20,light,rayon-1,2702322
16,2,3,2e20,light,rayon-red-with-1,4101955
17,2,4,2e20,light,orx-1,2492884
18,2,5,2e20,light,orx-fixed-1,2853575
19,2,6,2e20,light,rayon-4,1187571
20,2,7,2e20,light,rayon-red-with-4,1107531
21,2,8,2e20,light,orx-4,2333208
22,2,9,2e20,light,orx-fixed-4,3060566
23,2,10,2e20,light,rayon-16,12194597
24,2,11,2e20,light,rayon-red-with-16,9818602
25,2,12,2e20,light,orx-16,3072689
26,2,13,2e20,light,orx-fixed-16,2325600
27,3,1,2e15,heavy,seq,3140691
28,3,2,2e15,heavy,rayon-1,2848615
29,3,3,2e15,heavy,rayon-red-with-1,3146179
30,3,4,2e15,heavy,orx-1,2452681
31,3,5,2e15,heavy,orx-fixed-1,2287057
32,3,6,2e15,heavy,rayon-4,1150568
33,3,7,2e15,heavy,rayon-red-with-4,1314577
34,3,8,2e15,heavy,orx-4,953493
35,3,9,2e15,heavy,orx-fixed-4,958237
36,3,10,2e15,heavy,rayon-16,5466670
37,3,11,2e15,heavy,rayon-red-with-16,5868714
38,3,12,2e15,heavy,orx-16,1583759
39,3,13,2e15,heavy,orx-fixed-16,1794882
40,4,1,2e20,heavy,seq,83451815
41,4,2,2e20,heavy,rayon-1,76348652
42,4,3,2e20,heavy,rayon-red-with-1,72484796
43,4,4,2e20,heavy,orx-1,80136426
44,4,5,2e20,heavy,orx-fixed-1,73774340
45,4,6,2e20,heavy,rayon-4,25977947
46,4,7,2e20,heavy,rayon-red-with-4,23017286
47,4,8,2e20,heavy,orx-4,23143508
48,4,9,2e20,heavy,orx-fixed-4,22547225
49,4,10,2e20,heavy,rayon-16,14332168
50,4,11,2e20,heavy,rayon-red-with-16,13748867
51,4,12,2e20,heavy,orx-16,10119483
52,4,13,2e20,heavy,orx-fixed-16,9884261
