method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,6214071
seq,4,2e16,light,3202081
seq,4,2e20,heavy,90209418
seq,4,2e20,light,45226804
seq,8,2e16,heavy,5082730
seq,8,2e16,light,2676994
seq,8,2e20,heavy,83789597
seq,8,2e20,light,40848903
seq,16,2e16,heavy,4866009
seq,16,2e16,light,2649918
seq,16,2e20,heavy,79463551
seq,16,2e20,light,39688767
seq,20,2e16,heavy,4932825
seq,20,2e16,light,2534303
seq,20,2e20,heavy,78418786
seq,20,2e20,light,39210143
seq,24,2e16,heavy,4648542
seq,24,2e16,light,2477349
seq,24,2e20,heavy,76958779
seq,24,2e20,light,38561229
seq,28,2e16,heavy,4611185
seq,28,2e16,light,2534704
seq,28,2e20,heavy,76458984
seq,28,2e20,light,38316574
seq,32,2e16,heavy,4557208
seq,32,2e16,light,2415160
seq,32,2e20,heavy,81507547
seq,32,2e20,light,41220149
rayon,4,2e16,heavy,1511947
rayon,4,2e16,light,1394748
rayon,4,2e20,heavy,23373158
rayon,4,2e20,light,21776106
rayon,8,2e16,heavy,1007821
rayon,8,2e16,light,910713
rayon,8,2e20,heavy,14762206
rayon,8,2e20,light,13522265
rayon,16,2e16,heavy,3682603
rayon,16,2e16,light,1558519
rayon,16,2e20,heavy,9875987
rayon,16,2e20,light,9861770
rayon,20,2e16,heavy,5030342
rayon,20,2e16,light,4603136
rayon,20,2e20,heavy,10490992
rayon,20,2e20,light,9832771
rayon,24,2e16,heavy,6221453
rayon,24,2e16,light,5767405
rayon,24,2e20,heavy,9923891
rayon,24,2e20,light,9198134
rayon,28,2e16,heavy,6785701
rayon,28,2e16,light,6544319
rayon,28,2e20,heavy,10907953
rayon,28,2e20,light,9378720
rayon,32,2e16,heavy,9272251
rayon,32,2e16,light,9902272
rayon,32,2e20,heavy,12268322
rayon,32,2e20,light,13114390
orx-once,4,2e16,heavy,2070521
orx-once,4,2e16,light,1187082
orx-once,4,2e20,heavy,29537105
orx-once,4,2e20,light,14545945
orx-once,8,2e16,heavy,1378033
orx-once,8,2e16,light,859478
orx-once,8,2e20,heavy,18075023
orx-once,8,2e20,light,9892625
orx-once,16,2e16,heavy,1694911
orx-once,16,2e16,light,1285823
orx-once,16,2e20,heavy,10847692
orx-once,16,2e20,light,8124205
orx-once,20,2e16,heavy,1786654
orx-once,20,2e16,light,1707886
orx-once,20,2e20,heavy,11435210
orx-once,20,2e20,light,8202323
orx-once,24,2e16,heavy,2228973
orx-once,24,2e16,light,1972757
orx-once,24,2e20,heavy,10708745
orx-once,24,2e20,light,8666131
orx-once,28,2e16,heavy,2699392
orx-once,28,2e16,light,2187065
orx-once,28,2e20,heavy,11332638
orx-once,28,2e20,light,9050465
orx-once,32,2e16,heavy,2786316
orx-once,32,2e16,light,2484766
orx-once,32,2e20,heavy,11398033
orx-once,32,2e20,light,9801481
orx-basic,4,2e16,heavy,1599708
orx-basic,4,2e16,light,899107
orx-basic,4,2e20,heavy,25370923
orx-basic,4,2e20,light,12871916
orx-basic,8,2e16,heavy,956863
orx-basic,8,2e16,light,565013
orx-basic,8,2e20,heavy,15984213
orx-basic,8,2e20,light,8405361
orx-basic,16,2e16,heavy,862769
orx-basic,16,2e16,light,560750
orx-basic,16,2e20,heavy,9554356
orx-basic,16,2e20,light,6820907
orx-basic,20,2e16,heavy,829939
orx-basic,20,2e16,light,543085
orx-basic,20,2e20,heavy,8715534
orx-basic,20,2e20,light,6628024
orx-basic,24,2e16,heavy,878900
orx-basic,24,2e16,light,576879
orx-basic,24,2e20,heavy,9239187
orx-basic,24,2e20,light,6566290
orx-basic,28,2e16,heavy,961923
orx-basic,28,2e16,light,617442
orx-basic,28,2e20,heavy,8651547
orx-basic,28,2e20,light,6848893
orx-basic,32,2e16,heavy,1010480
orx-basic,32,2e16,light,669689
orx-basic,32,2e20,heavy,9514675
orx-basic,32,2e20,light,7038436
orx-rayon,4,2e16,heavy,1764648
orx-rayon,4,2e16,light,954602
orx-rayon,4,2e20,heavy,26642050
orx-rayon,4,2e20,light,12956203
orx-rayon,8,2e16,heavy,1166971
orx-rayon,8,2e16,light,717003
orx-rayon,8,2e20,heavy,16566703
orx-rayon,8,2e20,light,8420075
orx-rayon,16,2e16,heavy,1156770
orx-rayon,16,2e16,light,988145
orx-rayon,16,2e20,heavy,10149697
orx-rayon,16,2e20,light,7320294
orx-rayon,20,2e16,heavy,1661294
orx-rayon,20,2e16,light,1216288
orx-rayon,20,2e20,heavy,9362063
orx-rayon,20,2e20,light,7047551
orx-rayon,24,2e16,heavy,1697116
orx-rayon,24,2e16,light,1463089
orx-rayon,24,2e20,heavy,9177264
orx-rayon,24,2e20,light,7113005
orx-rayon,28,2e16,heavy,2125565
orx-rayon,28,2e16,light,1844308
orx-rayon,28,2e20,heavy,9467808
orx-rayon,28,2e20,light,7543844
orx-rayon,32,2e16,heavy,2347667
orx-rayon,32,2e16,light,1943653
orx-rayon,32,2e20,heavy,12823147
orx-rayon,32,2e20,light,10167114
