method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,5677932
seq,4,2e16,light,2702219
seq,4,2e20,heavy,84048961
seq,4,2e20,light,38308758
seq,8,2e16,heavy,4893498
seq,8,2e16,light,2359220
seq,8,2e20,heavy,77931210
seq,8,2e20,light,36708722
seq,16,2e16,heavy,4547023
seq,16,2e16,light,2303284
seq,16,2e20,heavy,75801837
seq,16,2e20,light,35887673
rayon,4,2e16,heavy,1613470
rayon,4,2e16,light,833464
rayon,4,2e20,heavy,24659026
rayon,4,2e20,light,12470348
rayon,8,2e16,heavy,1321277
rayon,8,2e16,light,704932
rayon,8,2e20,heavy,15886820
rayon,8,2e20,light,8175163
rayon,16,2e16,heavy,4044214
rayon,16,2e16,light,4229788
rayon,16,2e20,heavy,11193427
rayon,16,2e20,light,7580405
orx-once,4,2e16,heavy,1901310
orx-once,4,2e16,light,1068555
orx-once,4,2e20,heavy,26138149
orx-once,4,2e20,light,14032448
orx-once,8,2e16,heavy,1290159
orx-once,8,2e16,light,954181
orx-once,8,2e20,heavy,17485640
orx-once,8,2e20,light,9739418
orx-once,16,2e16,heavy,1548078
orx-once,16,2e16,light,1408041
orx-once,16,2e20,heavy,11574641
orx-once,16,2e20,light,8385844
orx-basic,4,2e16,heavy,1816378
orx-basic,4,2e16,light,1267645
orx-basic,4,2e20,heavy,27300747
orx-basic,4,2e20,light,20400797
orx-basic,8,2e16,heavy,1136774
orx-basic,8,2e16,light,876008
orx-basic,8,2e20,heavy,18640798
orx-basic,8,2e20,light,13316392
orx-basic,16,2e16,heavy,949586
orx-basic,16,2e16,light,731524
orx-basic,16,2e20,heavy,10831114
orx-basic,16,2e20,light,9938632
orx-rayon,4,2e16,heavy,1823784
orx-rayon,4,2e16,light,1017590
orx-rayon,4,2e20,heavy,26629643
orx-rayon,4,2e20,light,14277869
orx-rayon,8,2e16,heavy,1166256
orx-rayon,8,2e16,light,778599
orx-rayon,8,2e20,heavy,17486431
orx-rayon,8,2e20,light,9421856
orx-rayon,16,2e16,heavy,1532052
orx-rayon,16,2e16,light,1285989
orx-rayon,16,2e20,heavy,11137223
orx-rayon,16,2e20,light,8227429
