method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,34101556
seq,4,2e16,light,130677
seq,4,2e20,heavy,497935952
seq,4,2e20,light,1792552
seq,8,2e16,heavy,30305304
seq,8,2e16,light,112259
seq,8,2e20,heavy,485139426
seq,8,2e20,light,1834849
seq,16,2e16,heavy,31286377
seq,16,2e16,light,113696
seq,16,2e20,heavy,483268861
seq,16,2e20,light,1814553
seq,20,2e16,heavy,30162063
seq,20,2e16,light,97882
seq,20,2e20,heavy,480778263
seq,20,2e20,light,1749650
seq,24,2e16,heavy,29712161
seq,24,2e16,light,105010
seq,24,2e20,heavy,479098728
seq,24,2e20,light,1917102
seq,28,2e16,heavy,29674607
seq,28,2e16,light,115151
seq,28,2e20,heavy,494068156
seq,28,2e20,light,1712832
seq,32,2e16,heavy,29535070
seq,32,2e16,light,106001
seq,32,2e20,heavy,476420337
seq,32,2e20,light,1800228
rayon,4,2e16,heavy,10761975
rayon,4,2e16,light,151681
rayon,4,2e20,heavy,187860657
rayon,4,2e20,light,722402
rayon,8,2e16,heavy,6835658
rayon,8,2e16,light,291196
rayon,8,2e20,heavy,120654245
rayon,8,2e20,light,609691
rayon,16,2e16,heavy,4848291
rayon,16,2e16,light,2792074
rayon,16,2e20,heavy,80547219
rayon,16,2e20,light,1778073
rayon,20,2e16,heavy,5099118
rayon,20,2e16,light,4045046
rayon,20,2e20,heavy,74464111
rayon,20,2e20,light,3092299
rayon,24,2e16,heavy,5914485
rayon,24,2e16,light,5647038
rayon,24,2e20,heavy,71651345
rayon,24,2e20,light,3239400
rayon,28,2e16,heavy,6512378
rayon,28,2e16,light,7189067
rayon,28,2e20,heavy,74759235
rayon,28,2e20,light,9293445
rayon,32,2e16,heavy,9222532
rayon,32,2e16,light,636124
rayon,32,2e20,heavy,76827288
rayon,32,2e20,light,16267448
orx-once,4,2e16,heavy,13653599
orx-once,4,2e16,light,348085
orx-once,4,2e20,heavy,200037490
orx-once,4,2e20,light,889109
orx-once,8,2e16,heavy,7076771
orx-once,8,2e16,light,456452
orx-once,8,2e20,heavy,122905931
orx-once,8,2e20,light,752071
orx-once,16,2e16,heavy,4815192
orx-once,16,2e16,light,851042
orx-once,16,2e20,heavy,83003114
orx-once,16,2e20,light,1411825
orx-once,20,2e16,heavy,4939033
orx-once,20,2e16,light,1158263
orx-once,20,2e20,heavy,82305483
orx-once,20,2e20,light,1574276
orx-once,24,2e16,heavy,4872872
orx-once,24,2e16,light,1346766
orx-once,24,2e20,heavy,78526541
orx-once,24,2e20,light,1899866
orx-once,28,2e16,heavy,5341233
orx-once,28,2e16,light,1523777
orx-once,28,2e20,heavy,85850259
orx-once,28,2e20,light,2245128
orx-once,32,2e16,heavy,6037489
orx-once,32,2e16,light,1713031
orx-once,32,2e20,heavy,76323728
orx-once,32,2e20,light,2401750
orx-basic,4,2e16,heavy,11535837
orx-basic,4,2e16,light,140943
orx-basic,4,2e20,heavy,174358810
orx-basic,4,2e20,light,808774
orx-basic,8,2e16,heavy,6485400
orx-basic,8,2e16,light,144708
orx-basic,8,2e20,heavy,114158511
orx-basic,8,2e20,light,553159
orx-basic,16,2e16,heavy,4152354
orx-basic,16,2e16,light,284773
orx-basic,16,2e20,heavy,76966409
orx-basic,16,2e20,light,695164
orx-basic,20,2e16,heavy,3919079
orx-basic,20,2e16,light,382779
orx-basic,20,2e20,heavy,70350843
orx-basic,20,2e20,light,894434
orx-basic,24,2e16,heavy,3614960
orx-basic,24,2e16,light,474470
orx-basic,24,2e20,heavy,70805104
orx-basic,24,2e20,light,1026962
orx-basic,28,2e16,heavy,3704855
orx-basic,28,2e16,light,582119
orx-basic,28,2e20,heavy,72135931
orx-basic,28,2e20,light,1217683
orx-basic,32,2e16,heavy,3866807
orx-basic,32,2e16,light,672326
orx-basic,32,2e20,heavy,69822872
orx-basic,32,2e20,light,1203348
orx-rayon,4,2e16,heavy,11676406
orx-rayon,4,2e16,light,187219
orx-rayon,4,2e20,heavy,174458164
orx-rayon,4,2e20,light,942677
orx-rayon,8,2e16,heavy,6393816
orx-rayon,8,2e16,light,388796
orx-rayon,8,2e20,heavy,112827203
orx-rayon,8,2e20,light,1043638
orx-rayon,16,2e16,heavy,4587650
orx-rayon,16,2e16,light,906465
orx-rayon,16,2e20,heavy,78546839
orx-rayon,16,2e20,light,1088947
orx-rayon,20,2e16,heavy,4511611
orx-rayon,20,2e16,light,1109066
orx-rayon,20,2e20,heavy,72450872
orx-rayon,20,2e20,light,1574029
orx-rayon,24,2e16,heavy,4439819
orx-rayon,24,2e16,light,1430690
orx-rayon,24,2e20,heavy,70982210
orx-rayon,24,2e20,light,1877826
orx-rayon,28,2e16,heavy,4660106
orx-rayon,28,2e16,light,1645056
orx-rayon,28,2e20,heavy,75799324
orx-rayon,28,2e20,light,2184031
orx-rayon,32,2e16,heavy,4523330
orx-rayon,32,2e16,light,1886169
orx-rayon,32,2e20,heavy,73391944
orx-rayon,32,2e20,light,2468212
