t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,5633
2,1,2,2e15,light,rayon-1,88573
3,1,3,2e15,light,rayon-red-with-1,108493
4,1,4,2e15,light,orx-1,6326
5,1,5,2e15,light,orx-fixed-1,5941
6,1,6,2e15,light,rayon-4,362911
7,1,7,2e15,light,rayon-red-with-4,380869
8,1,8,2e15,light,orx-4,270282
9,1,9,2e15,light,orx-fixed-4,218031
10,1,10,2e15,light,rayon-16,9602784
11,1,11,2e15,light,rayon-red-with-16,7485085
12,1,12,2e15,light,orx-16,4222383
13,1,13,2e15,light,orx-fixed-16,1022149
14,2,1,2e20,light,seq,307595
15,2,2,2e20,light,rayon-1,420745
16,2,3,2e20,light,rayon-red-with-1,456281
17,2,4,2e20,light,orx-1,262858
18,2,5,2e20,light,orx-fixed-1,252798
19,2,6,2e20,light,rayon-4,535380
20,2,7,2e20,light,rayon-red-with-4,573946
21,2,8,2e20,light,orx-4,574720
22,2,9,2e20,light,orx-fixed-4,334693
23,2,10,2e20,light,rayon-16,9021993
24,2,11,2e20,light,rayon-red-with-16,9027377
25,2,12,2e20,light,orx-16,1587841
26,2,13,2e20,light,orx-fixed-16,1465742
27,3,1,2e15,heavy,seq,2556952
28,3,2,2e15,heavy,rayon-1,2905452
29,3,3,2e15,heavy,rayon-red-with-1,2639585
30,3,4,2e15,heavy,orx-1,2567041
31,3,5,2e15,heavy,orx-fixed-1,2642946
32,3,6,2e15,heavy,rayon-4,1375130
33,3,7,2e15,heavy,rayon-red-with-4,1353717
34,3,8,2e15,heavy,orx-4,1076550
35,3,9,2e15,heavy,orx-fixed-4,1902612
36,3,10,2e15,heavy,rayon-16,5748203
37,3,11,2e15,heavy,rayon-red-with-16,5553024
38,3,12,2e15,heavy,orx-16,1584329
39,3,13,2e15,heavy,orx-fixed-16,1552090
40,4,1,2e20,heavy,seq,73533711
41,4,2,2e20,heavy,rayon-1,71657914
42,4,3,2e20,heavy,rayon-red-with-1,88122166
43,4,4,2e20,heavy,orx-1,78434340
44,4,5,2e20,heavy,orx-fixed-1,72160363
45,4,6,2e20,heavy,rayon-4,21395788
46,4,7,2e20,heavy,rayon-red-with-4,22266046
47,4,8,2e20,heavy,orx-4,21553285
48,4,9,2e20,heavy,orx-fixed-4,22357987
49,4,10,2e20,heavy,rayon-16,13847351
50,4,11,2e20,heavy,rayon-red-with-16,14911397
51,4,12,2e20,heavy,orx-16,10713857
52,4,13,2e20,heavy,orx-fixed-16,10277674
