t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,3709665
2,1,2,2e15,light,rayon-1,4105997
3,1,3,2e15,light,rayon-red-with-1,3869715
4,1,4,2e15,light,orx-1,3637241
5,1,5,2e15,light,orx-fixed-1,3552646
6,1,6,2e15,light,rayon-4,1539239
7,1,7,2e15,light,rayon-red-with-4,1582779
8,1,8,2e15,light,orx-4,1420653
9,1,9,2e15,light,orx-fixed-4,1512021
10,1,10,2e15,light,rayon-16,4318815
11,1,11,2e15,light,rayon-red-with-16,3991518
12,1,12,2e15,light,orx-16,1841243
13,1,13,2e15,light,orx-fixed-16,1756238
14,2,1,2e20,light,seq,115781039
15,2,2,2e20,light,rayon-1,109219871
16,2,3,2e20,light,rayon-red-with-1,107464469
17,2,4,2e20,light,orx-1,105515000
18,2,5,2e20,light,orx-fixed-1,106105840
19,2,6,2e20,light,rayon-4,32027205
20,2,7,2e20,light,rayon-red-with-4,32499210
21,2,8,2e20,light,orx-4,32870959
22,2,9,2e20,light,orx-fixed-4,32690988
23,2,10,2e20,light,rayon-16,20510039
24,2,11,2e20,light,rayon-red-with-16,20410784
25,2,12,2e20,light,orx-16,17797817
26,2,13,2e20,light,orx-fixed-16,17030460
27,3,1,2e15,heavy,seq,15783544
28,3,2,2e15,heavy,rayon-1,15444866
29,3,3,2e15,heavy,rayon-red-with-1,15784138
30,3,4,2e15,heavy,orx-1,15259493
31,3,5,2e15,heavy,orx-fixed-1,15252156
32,3,6,2e15,heavy,rayon-4,4944212
33,3,7,2e15,heavy,rayon-red-with-4,5151288
34,3,8,2e15,heavy,orx-4,4925519
35,3,9,2e15,heavy,orx-fixed-4,5034484
36,3,10,2e15,heavy,rayon-16,4527898
37,3,11,2e15,heavy,rayon-red-with-16,4636768
38,3,12,2e15,heavy,orx-16,2939771
39,3,13,2e15,heavy,orx-fixed-16,2803084
40,4,1,2e20,heavy,seq,483761731
41,4,2,2e20,heavy,rayon-1,480509386
42,4,3,2e20,heavy,rayon-red-with-1,480622563
43,4,4,2e20,heavy,orx-1,476418506
44,4,5,2e20,heavy,orx-fixed-1,474251747
45,4,6,2e20,heavy,rayon-4,139215408
46,4,7,2e20,heavy,rayon-red-with-4,141357107
47,4,8,2e20,heavy,orx-4,139508411
48,4,9,2e20,heavy,orx-fixed-4,143939553
49,4,10,2e20,heavy,rayon-16,66860521
50,4,11,2e20,heavy,rayon-red-with-16,69874862
51,4,12,2e20,heavy,orx-16,72638371
52,4,13,2e20,heavy,orx-fixed-16,71578142
