t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,16172
2,1,2,2e15,light,rayon-1,88066
3,1,3,2e15,light,rayon-red-with-1,84161
4,1,4,2e15,light,orx-1,25784
5,1,5,2e15,light,orx-fixed-1,35630
6,1,6,2e15,light,rayon-4,325722
7,1,7,2e15,light,rayon-red-with-4,333378
8,1,8,2e15,light,orx-4,182634
9,1,9,2e15,light,orx-fixed-4,204057
10,1,10,2e15,light,rayon-16,5450368
11,1,11,2e15,light,rayon-red-with-16,5569367
12,1,12,2e15,light,orx-16,652709
13,1,13,2e15,light,orx-fixed-16,709871
14,2,1,2e20,light,seq,600740
15,2,2,2e20,light,rayon-1,671286
16,2,3,2e20,light,rayon-red-with-1,672276
17,2,4,2e20,light,orx-1,611671
18,2,5,2e20,light,orx-fixed-1,585068
19,2,6,2e20,light,rayon-4,554181
20,2,7,2e20,light,rayon-red-with-4,569530
21,2,8,2e20,light,orx-4,546358
22,2,9,2e20,light,orx-fixed-4,452829
23,2,10,2e20,light,rayon-16,7176553
24,2,11,2e20,light,rayon-red-with-16,7566661
25,2,12,2e20,light,orx-16,1467486
26,2,13,2e20,light,orx-fixed-16,1249462
27,3,1,2e15,heavy,seq,2350597
28,3,2,2e15,heavy,rayon-1,2435914
29,3,3,2e15,heavy,rayon-red-with-1,2392140
30,3,4,2e15,heavy,orx-1,2285614
31,3,5,2e15,heavy,orx-fixed-1,2247589
32,3,6,2e15,heavy,rayon-4,1070211
33,3,7,2e15,heavy,rayon-red-with-4,1132797
34,3,8,2e15,heavy,orx-4,953958
35,3,9,2e15,heavy,orx-fixed-4,988842
36,3,10,2e15,heavy,rayon-16,5226744
37,3,11,2e15,heavy,rayon-red-with-16,5141994
38,3,12,2e15,heavy,orx-16,1664344
39,3,13,2e15,heavy,orx-fixed-16,1739382
40,4,1,2e20,heavy,seq,76001063
41,4,2,2e20,heavy,rayon-1,72336875
42,4,3,2e20,heavy,rayon-red-with-1,71544739
43,4,4,2e20,heavy,orx-1,74263735
44,4,5,2e20,heavy,orx-fixed-1,71267006
45,4,6,2e20,heavy,rayon-4,21611811
46,4,7,2e20,heavy,rayon-red-with-4,21506847
47,4,8,2e20,heavy,orx-4,21585256
48,4,9,2e20,heavy,orx-fixed-4,21153536
49,4,10,2e20,heavy,rayon-16,13674153
50,4,11,2e20,heavy,rayon-red-with-16,13513478
51,4,12,2e20,heavy,orx-16,10182508
52,4,13,2e20,heavy,orx-fixed-16,10786641
