method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,5796718
seq,4,2e16,light,36359
seq,4,2e20,heavy,82270784
seq,4,2e20,light,495838
seq,8,2e16,heavy,5080158
seq,8,2e16,light,31728
seq,8,2e20,heavy,80307190
seq,8,2e20,light,532335
seq,16,2e16,heavy,4728795
seq,16,2e16,light,27605
seq,16,2e20,heavy,75298158
seq,16,2e20,light,484698
rayon,4,2e16,heavy,1604591
rayon,4,2e16,light,182151
rayon,4,2e20,heavy,24122600
rayon,4,2e20,light,283790
rayon,8,2e16,heavy,1064900
rayon,8,2e16,light,370972
rayon,8,2e20,heavy,15521514
rayon,8,2e20,light,425403
rayon,16,2e16,heavy,3501505
rayon,16,2e16,light,3313315
rayon,16,2e20,heavy,11263474
rayon,16,2e20,light,5101692
orx-once,4,2e16,heavy,1942095
orx-once,4,2e16,light,226841
orx-once,4,2e20,heavy,27783603
orx-once,4,2e20,light,398649
orx-once,8,2e16,heavy,1378327
orx-once,8,2e16,light,393843
orx-once,8,2e20,heavy,18034135
orx-once,8,2e20,light,645075
orx-once,16,2e16,heavy,1777738
orx-once,16,2e16,light,724049
orx-once,16,2e20,heavy,11628999
orx-once,16,2e20,light,1237367
orx-basic,4,2e16,heavy,1896512
orx-basic,4,2e16,light,73485
orx-basic,4,2e20,heavy,29633907
orx-basic,4,2e20,light,373035
orx-basic,8,2e16,heavy,1190333
orx-basic,8,2e16,light,182297
orx-basic,8,2e20,heavy,18945113
orx-basic,8,2e20,light,331134
orx-basic,16,2e16,heavy,863467
orx-basic,16,2e16,light,299320
orx-basic,16,2e20,heavy,11604184
orx-basic,16,2e20,light,542885
orx-rayon,4,2e16,heavy,2145574
orx-rayon,4,2e16,light,187716
orx-rayon,4,2e20,heavy,29448425
orx-rayon,4,2e20,light,553707
orx-rayon,8,2e16,heavy,1277347
orx-rayon,8,2e16,light,374432
orx-rayon,8,2e20,heavy,19203518
orx-rayon,8,2e20,light,819557
orx-rayon,16,2e16,heavy,1462120
orx-rayon,16,2e16,light,865647
orx-rayon,16,2e20,heavy,12093910
orx-rayon,16,2e20,light,1014301
