t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,33675
2,1,2,2e15,light,rayon-1,121009
3,1,3,2e15,light,rayon-red-with-1,118392
4,1,4,2e15,light,orx-1,32933
5,1,5,2e15,light,orx-fixed-1,32256
6,1,6,2e15,light,rayon-4,368838
7,1,7,2e15,light,rayon-red-with-4,365140
8,1,8,2e15,light,orx-4,244197
9,1,9,2e15,light,orx-fixed-4,214003
10,1,10,2e15,light,rayon-16,5629919
11,1,11,2e15,light,rayon-red-with-16,5845449
12,1,12,2e15,light,orx-16,997047
13,1,13,2e15,light,orx-fixed-16,861916
14,2,1,2e20,light,seq,1132563
15,2,2,2e20,light,rayon-1,2248493
16,2,3,2e20,light,rayon-red-with-1,1314591
17,2,4,2e20,light,orx-1,1011394
18,2,5,2e20,light,orx-fixed-1,984936
19,2,6,2e20,light,rayon-4,1048706
20,2,7,2e20,light,rayon-red-with-4,789768
21,2,8,2e20,light,orx-4,773773
22,2,9,2e20,light,orx-fixed-4,3075752
23,2,10,2e20,light,rayon-16,11220515
24,2,11,2e20,light,rayon-red-with-16,10422416
25,2,12,2e20,light,orx-16,3343060
26,2,13,2e20,light,orx-fixed-16,2490693
27,3,1,2e15,heavy,seq,3000216
28,3,2,2e15,heavy,rayon-1,2870841
29,3,3,2e15,heavy,rayon-red-with-1,2771728
30,3,4,2e15,heavy,orx-1,2363822
31,3,5,2e15,heavy,orx-fixed-1,5557244
32,3,6,2e15,heavy,rayon-4,1259065
33,3,7,2e15,heavy,rayon-red-with-4,1328901
34,3,8,2e15,heavy,orx-4,1013902
35,3,9,2e15,heavy,orx-fixed-4,958461
36,3,10,2e15,heavy,rayon-16,5782180
37,3,11,2e15,heavy,rayon-red-with-16,6054004
38,3,12,2e15,heavy,orx-16,1725417
39,3,13,2e15,heavy,orx-fixed-16,1741723
40,4,1,2e20,heavy,seq,72615080
41,4,2,2e20,heavy,rayon-1,70093382
42,4,3,2e20,heavy,rayon-red-with-1,68017640
43,4,4,2e20,heavy,orx-1,67790536
44,4,5,2e20,heavy,orx-fixed-1,78785233
45,4,6,2e20,heavy,rayon-4,22489957
46,4,7,2e20,heavy,rayon-red-with-4,23827413
47,4,8,2e20,heavy,orx-4,26626395
48,4,9,2e20,heavy,orx-fixed-4,23710505
49,4,10,2e20,heavy,rayon-16,15080026
50,4,11,2e20,heavy,rayon-red-with-16,20122504
51,4,12,2e20,heavy,orx-16,11049790
52,4,13,2e20,heavy,orx-fixed-16,12096135
