t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,66912
2,1,2,2e15,light,rayon-1,170763
3,1,3,2e15,light,rayon-red-with-1,169660
4,1,4,2e15,light,orx-1,60390
5,1,5,2e15,light,orx-fixed-1,57078
6,1,6,2e15,light,rayon-4,427451
7,1,7,2e15,light,rayon-red-with-4,393031
8,1,8,2e15,light,orx-4,236994
9,1,9,2e15,light,orx-fixed-4,228966
10,1,10,2e15,light,rayon-16,6021053
11,1,11,2e15,light,rayon-red-with-16,5976502
12,1,12,2e15,light,orx-16,912034
13,1,13,2e15,light,orx-fixed-16,958671
14,2,1,2e20,light,seq,2736744
15,2,2,2e20,light,rayon-1,2863952
16,2,3,2e20,light,rayon-red-with-1,3952940
17,2,4,2e20,light,orx-1,2955915
18,2,5,2e20,light,orx-fixed-1,2675853
19,2,6,2e20,light,rayon-4,1420182
20,2,7,2e20,light,rayon-red-with-4,1493775
21,2,8,2e20,light,orx-4,1418836
22,2,9,2e20,light,orx-fixed-4,1259114
23,2,10,2e20,light,rayon-16,6148215
24,2,11,2e20,light,rayon-red-with-16,6447862
25,2,12,2e20,light,orx-16,2010767
26,2,13,2e20,light,orx-fixed-16,1774781
27,3,1,2e15,heavy,seq,4652370
28,3,2,2e15,heavy,rayon-1,4574295
29,3,3,2e15,heavy,rayon-red-with-1,4797200
30,3,4,2e15,heavy,orx-1,4730075
31,3,5,2e15,heavy,orx-fixed-1,4251088
32,3,6,2e15,heavy,rayon-4,1840736
33,3,7,2e15,heavy,rayon-red-with-4,2204283
34,3,8,2e15,heavy,orx-4,2007137
35,3,9,2e15,heavy,orx-fixed-4,3056400
36,3,10,2e15,heavy,rayon-16,12872292
37,3,11,2e15,heavy,rayon-red-with-16,6544787
38,3,12,2e15,heavy,orx-16,3049587
39,3,13,2e15,heavy,orx-fixed-16,3731968
40,4,1,2e20,heavy,seq,158181821
41,4,2,2e20,heavy,rayon-1,136525619
42,4,3,2e20,heavy,rayon-red-with-1,129055083
43,4,4,2e20,heavy,orx-1,149384404
44,4,5,2e20,heavy,orx-fixed-1,185391252
45,4,6,2e20,heavy,rayon-4,43174968
46,4,7,2e20,heavy,rayon-red-with-4,55119835
47,4,8,2e20,heavy,orx-4,42912959
48,4,9,2e20,heavy,orx-fixed-4,38590847
49,4,10,2e20,heavy,rayon-16,20433847
50,4,11,2e20,heavy,rayon-red-with-16,21197760
51,4,12,2e20,heavy,orx-16,18415684
52,4,13,2e20,heavy,orx-fixed-16,18692694
