t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,67973
2,1,2,2e15,light,rayon-1,150726
3,1,3,2e15,light,rayon-red-with-1,380681
4,1,4,2e15,light,orx-1,74325
5,1,5,2e15,light,orx-fixed-1,75550
6,1,6,2e15,light,rayon-4,411655
7,1,7,2e15,light,rayon-red-with-4,493350
8,1,8,2e15,light,orx-4,249584
9,1,9,2e15,light,orx-fixed-4,235640
10,1,10,2e15,light,rayon-16,7460999
11,1,11,2e15,light,rayon-red-with-16,6632122
12,1,12,2e15,light,orx-16,894301
13,1,13,2e15,light,orx-fixed-16,888709
14,2,1,2e20,light,seq,3072721
15,2,2,2e20,light,rayon-1,3154329
16,2,3,2e20,light,rayon-red-with-1,8935837
17,2,4,2e20,light,orx-1,2998340
18,2,5,2e20,light,orx-fixed-1,2965053
19,2,6,2e20,light,rayon-4,1397621
20,2,7,2e20,light,rayon-red-with-4,3517603
21,2,8,2e20,light,orx-4,1322494
22,2,9,2e20,light,orx-fixed-4,1296027
23,2,10,2e20,light,rayon-16,6120456
24,2,11,2e20,light,rayon-red-with-16,6024273
25,2,12,2e20,light,orx-16,2368989
26,2,13,2e20,light,orx-fixed-16,2441587
27,3,1,2e15,heavy,seq,4679562
28,3,2,2e15,heavy,rayon-1,4754679
29,3,3,2e15,heavy,rayon-red-with-1,4748368
30,3,4,2e15,heavy,orx-1,4051771
31,3,5,2e15,heavy,orx-fixed-1,4212178
32,3,6,2e15,heavy,rayon-4,1711400
33,3,7,2e15,heavy,rayon-red-with-4,1834035
34,3,8,2e15,heavy,orx-4,1543697
35,3,9,2e15,heavy,orx-fixed-4,1628986
36,3,10,2e15,heavy,rayon-16,5070671
37,3,11,2e15,heavy,rayon-red-with-16,4209041
38,3,12,2e15,heavy,orx-16,2424637
39,3,13,2e15,heavy,orx-fixed-16,2454952
40,4,1,2e20,heavy,seq,132979184
41,4,2,2e20,heavy,rayon-1,133534265
42,4,3,2e20,heavy,rayon-red-with-1,132811619
43,4,4,2e20,heavy,orx-1,127336724
44,4,5,2e20,heavy,orx-fixed-1,125973199
45,4,6,2e20,heavy,rayon-4,38896093
46,4,7,2e20,heavy,rayon-red-with-4,39933579
47,4,8,2e20,heavy,orx-4,40607652
48,4,9,2e20,heavy,orx-fixed-4,40317318
49,4,10,2e20,heavy,rayon-16,21125685
50,4,11,2e20,heavy,rayon-red-with-16,21849867
51,4,12,2e20,heavy,orx-16,18154889
52,4,13,2e20,heavy,orx-fixed-16,17429233
