t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,32700
2,1,2,2e15,light,rayon-1,117022
3,1,3,2e15,light,rayon-red-with-1,113617
4,1,4,2e15,light,orx-1,46223
5,1,5,2e15,light,orx-fixed-1,49450
6,1,6,2e15,light,rayon-4,356147
7,1,7,2e15,light,rayon-red-with-4,359674
8,1,8,2e15,light,orx-4,200183
9,1,9,2e15,light,orx-fixed-4,205134
10,1,10,2e15,light,rayon-16,5554149
11,1,11,2e15,light,rayon-red-with-16,5769738
12,1,12,2e15,light,orx-16,723258
13,1,13,2e15,light,orx-fixed-16,643193
14,2,1,2e20,light,seq,1075868
15,2,2,2e20,light,rayon-1,2159262
16,2,3,2e20,light,rayon-red-with-1,1284631
17,2,4,2e20,light,orx-1,1003548
18,2,5,2e20,light,orx-fixed-1,1006487
19,2,6,2e20,light,rayon-4,1032956
20,2,7,2e20,light,rayon-red-with-4,767630
21,2,8,2e20,light,orx-4,724558
22,2,9,2e20,light,orx-fixed-4,603924
23,2,10,2e20,light,rayon-16,6501883
24,2,11,2e20,light,rayon-red-with-16,6985957
25,2,12,2e20,light,orx-16,1570971
26,2,13,2e20,light,orx-fixed-16,1473926
27,3,1,2e15,heavy,seq,2198161
28,3,2,2e15,heavy,rayon-1,2250523
29,3,3,2e15,heavy,rayon-red-with-1,2286904
30,3,4,2e15,heavy,orx-1,2123904
31,3,5,2e15,heavy,orx-fixed-1,2089979
32,3,6,2e15,heavy,rayon-4,1073533
33,3,7,2e15,heavy,rayon-red-with-4,1092090
34,3,8,2e15,heavy,orx-4,921825
35,3,9,2e15,heavy,orx-fixed-4,923915
36,3,10,2e15,heavy,rayon-16,5256843
37,3,11,2e15,heavy,rayon-red-with-16,5512300
38,3,12,2e15,heavy,orx-16,1494394
39,3,13,2e15,heavy,orx-fixed-16,1533964
40,4,1,2e20,heavy,seq,68354579
41,4,2,2e20,heavy,rayon-1,66766317
42,4,3,2e20,heavy,rayon-red-with-1,66190785
43,4,4,2e20,heavy,orx-1,64565078
44,4,5,2e20,heavy,orx-fixed-1,66710608
45,4,6,2e20,heavy,rayon-4,19656173
46,4,7,2e20,heavy,rayon-red-with-4,20021502
47,4,8,2e20,heavy,orx-4,19916246
48,4,9,2e20,heavy,orx-fixed-4,20138695
49,4,10,2e20,heavy,rayon-16,12622451
50,4,11,2e20,heavy,rayon-red-with-16,13123685
51,4,12,2e20,heavy,orx-16,9627594
52,4,13,2e20,heavy,orx-fixed-16,9270314
