t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,56279
2,1,2,2e15,light,rayon-1,129356
3,1,3,2e15,light,rayon-red-with-1,368843
4,1,4,2e15,light,orx-1,59514
5,1,5,2e15,light,orx-fixed-1,77678
6,1,6,2e15,light,rayon-4,380878
7,1,7,2e15,light,rayon-red-with-4,464437
8,1,8,2e15,light,orx-4,203210
9,1,9,2e15,light,orx-fixed-4,252518
10,1,10,2e15,light,rayon-16,5847615
11,1,11,2e15,light,rayon-red-with-16,5807692
12,1,12,2e15,light,orx-16,921087
13,1,13,2e15,light,orx-fixed-16,806636
14,2,1,2e20,light,seq,2467641
15,2,2,2e20,light,rayon-1,2492104
16,2,3,2e20,light,rayon-red-with-1,8550645
17,2,4,2e20,light,orx-1,2394660
18,2,5,2e20,light,orx-fixed-1,2486223
19,2,6,2e20,light,rayon-4,1120400
20,2,7,2e20,light,rayon-red-with-4,3161123
21,2,8,2e20,light,orx-4,1116436
22,2,9,2e20,light,orx-fixed-4,1056475
23,2,10,2e20,light,rayon-16,6415274
24,2,11,2e20,light,rayon-red-with-16,4118512
25,2,12,2e20,light,orx-16,1718201
26,2,13,2e20,light,orx-fixed-16,1644366
27,3,1,2e15,heavy,seq,4129894
28,3,2,2e15,heavy,rayon-1,4160250
29,3,3,2e15,heavy,rayon-red-with-1,4150701
30,3,4,2e15,heavy,orx-1,3903090
31,3,5,2e15,heavy,orx-fixed-1,3864284
32,3,6,2e15,heavy,rayon-4,1583950
33,3,7,2e15,heavy,rayon-red-with-4,1672686
34,3,8,2e15,heavy,orx-4,1483059
35,3,9,2e15,heavy,orx-fixed-4,1562263
36,3,10,2e15,heavy,rayon-16,3839687
37,3,11,2e15,heavy,rayon-red-with-16,3526304
38,3,12,2e15,heavy,orx-16,1773748
39,3,13,2e15,heavy,orx-fixed-16,1729452
40,4,1,2e20,heavy,seq,125858025
41,4,2,2e20,heavy,rayon-1,120153742
42,4,3,2e20,heavy,rayon-red-with-1,121669292
43,4,4,2e20,heavy,orx-1,118018358
44,4,5,2e20,heavy,orx-fixed-1,116468613
45,4,6,2e20,heavy,rayon-4,35394183
46,4,7,2e20,heavy,rayon-red-with-4,36343918
47,4,8,2e20,heavy,orx-4,35755289
48,4,9,2e20,heavy,orx-fixed-4,35581351
49,4,10,2e20,heavy,rayon-16,17499345
50,4,11,2e20,heavy,rayon-red-with-16,20742357
51,4,12,2e20,heavy,orx-16,18311623
52,4,13,2e20,heavy,orx-fixed-16,17171464
