t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,70354
2,1,2,2e15,light,rayon-1,140619
3,1,3,2e15,light,rayon-red-with-1,342236
4,1,4,2e15,light,orx-1,71840
5,1,5,2e15,light,orx-fixed-1,95899
6,1,6,2e15,light,rayon-4,372493
7,1,7,2e15,light,rayon-red-with-4,457474
8,1,8,2e15,light,orx-4,221419
9,1,9,2e15,light,orx-fixed-4,304863
10,1,10,2e15,light,rayon-16,5827466
11,1,11,2e15,light,rayon-red-with-16,5690425
12,1,12,2e15,light,orx-16,873423
13,1,13,2e15,light,orx-fixed-16,794283
14,2,1,2e20,light,seq,2952021
15,2,2,2e20,light,rayon-1,2914405
16,2,3,2e20,light,rayon-red-with-1,8465656
17,2,4,2e20,light,orx-1,2652572
18,2,5,2e20,light,orx-fixed-1,2899640
19,2,6,2e20,light,rayon-4,1304074
20,2,7,2e20,light,rayon-red-with-4,3138918
21,2,8,2e20,light,orx-4,1345775
22,2,9,2e20,light,orx-fixed-4,1127501
23,2,10,2e20,light,rayon-16,5320301
24,2,11,2e20,light,rayon-red-with-16,4371787
25,2,12,2e20,light,orx-16,2031697
26,2,13,2e20,light,orx-fixed-16,1689962
27,3,1,2e15,heavy,seq,3969117
28,3,2,2e15,heavy,rayon-1,3936636
29,3,3,2e15,heavy,rayon-red-with-1,4008965
30,3,4,2e15,heavy,orx-1,3713063
31,3,5,2e15,heavy,orx-fixed-1,3683610
32,3,6,2e15,heavy,rayon-4,1542091
33,3,7,2e15,heavy,rayon-red-with-4,1615130
34,3,8,2e15,heavy,orx-4,1470068
35,3,9,2e15,heavy,orx-fixed-4,1456727
36,3,10,2e15,heavy,rayon-16,3818089
37,3,11,2e15,heavy,rayon-red-with-16,3932731
38,3,12,2e15,heavy,orx-16,1751335
39,3,13,2e15,heavy,orx-fixed-16,1724230
40,4,1,2e20,heavy,seq,119650318
41,4,2,2e20,heavy,rayon-1,114562515
42,4,3,2e20,heavy,rayon-red-with-1,114157084
43,4,4,2e20,heavy,orx-1,112016311
44,4,5,2e20,heavy,orx-fixed-1,112515870
45,4,6,2e20,heavy,rayon-4,32801508
46,4,7,2e20,heavy,rayon-red-with-4,34935316
47,4,8,2e20,heavy,orx-4,33761252
48,4,9,2e20,heavy,orx-fixed-4,33710716
49,4,10,2e20,heavy,rayon-16,16759689
50,4,11,2e20,heavy,rayon-red-with-16,17991813
51,4,12,2e20,heavy,orx-16,15309570
52,4,13,2e20,heavy,orx-fixed-16,16203331
