method,num_threads,n,mode,time (ns)
seq,4,2e16,stats,19083590
seq,4,2e16,stats+trace,47368821
seq,4,2e20,stats,273636476
seq,4,2e20,stats+trace,679919884
seq,8,2e16,stats,16694971
seq,8,2e16,stats+trace,43179039
seq,8,2e20,stats,270375952
seq,8,2e20,stats+trace,689140623
seq,16,2e16,stats,15944399
seq,16,2e16,stats+trace,41971882
seq,16,2e20,stats,274377667
seq,16,2e20,stats+trace,693485176
seq,20,2e16,stats,16670086
seq,20,2e16,stats+trace,43347533
seq,20,2e20,stats,269625869
seq,20,2e20,stats+trace,717045444
seq,24,2e16,stats,16756280
seq,24,2e16,stats+trace,42876879
seq,24,2e20,stats,270788475
seq,24,2e20,stats+trace,668544939
seq,28,2e16,stats,15957691
seq,28,2e16,stats+trace,41374629
seq,28,2e20,stats,259103434
seq,28,2e20,stats+trace,665787468
seq,32,2e16,stats,16544677
seq,32,2e16,stats+trace,43407242
seq,32,2e20,stats,269727729
seq,32,2e20,stats+trace,689628314
orx-once,4,2e16,stats,6304263
orx-once,4,2e16,stats+trace,30435950
orx-once,4,2e20,stats,123187510
orx-once,4,2e20,stats+trace,585391294
orx-once,8,2e16,stats,4944757
orx-once,8,2e16,stats+trace,20374344
orx-once,8,2e20,stats,91841270
orx-once,8,2e20,stats+trace,386279362
orx-once,16,2e16,stats,3946610
orx-once,16,2e16,stats+trace,15556713
orx-once,16,2e20,stats,67306517
orx-once,16,2e20,stats+trace,280278380
orx-once,20,2e16,stats,4379663
orx-once,20,2e16,stats+trace,16323869
orx-once,20,2e20,stats,71216101
orx-once,20,2e20,stats+trace,280231898
orx-once,24,2e16,stats,4851270
orx-once,24,2e16,stats+trace,17145223
orx-once,24,2e20,stats,70033890
orx-once,24,2e20,stats+trace,280975146
orx-once,28,2e16,stats,5079866
orx-once,28,2e16,stats+trace,17186997
orx-once,28,2e20,stats,65533162
orx-once,28,2e20,stats+trace,275139717
orx-once,32,2e16,stats,5354718
orx-once,32,2e16,stats+trace,16745048
orx-once,32,2e20,stats,63034035
orx-once,32,2e20,stats+trace,240782187
orx-basic,4,2e16,stats,8326765
orx-basic,4,2e16,stats+trace,25291639
orx-basic,4,2e20,stats,133239606
orx-basic,4,2e20,stats+trace,555508565
orx-basic,8,2e16,stats,3971540
orx-basic,8,2e16,stats+trace,20214076
orx-basic,8,2e20,stats,97256030
orx-basic,8,2e20,stats+trace,414377219
orx-basic,16,2e16,stats,3397592
orx-basic,16,2e16,stats+trace,15795229
orx-basic,16,2e20,stats,69218645
orx-basic,16,2e20,stats+trace,309228491
orx-basic,20,2e16,stats,3227373
orx-basic,20,2e16,stats+trace,15142642
orx-basic,20,2e20,stats,72154096
orx-basic,20,2e20,stats+trace,284161336
orx-basic,24,2e16,stats,3267537
orx-basic,24,2e16,stats+trace,14833795
orx-basic,24,2e20,stats,68339496
orx-basic,24,2e20,stats+trace,283096727
orx-basic,28,2e16,stats,3387673
orx-basic,28,2e16,stats+trace,15224142
orx-basic,28,2e20,stats,67453773
orx-basic,28,2e20,stats+trace,267753452
orx-basic,32,2e16,stats,3450072
orx-basic,32,2e16,stats+trace,13759779
orx-basic,32,2e20,stats,62894578
orx-basic,32,2e20,stats+trace,238139814
orx-rayon,4,2e16,stats,10713769
orx-rayon,4,2e16,stats+trace,37054429
orx-rayon,4,2e20,stats,148330209
orx-rayon,4,2e20,stats+trace,413345434
orx-rayon,8,2e16,stats,4351943
orx-rayon,8,2e16,stats+trace,20572154
orx-rayon,8,2e20,stats,96654342
orx-rayon,8,2e20,stats+trace,380644659
orx-rayon,16,2e16,stats,3824575
orx-rayon,16,2e16,stats+trace,15341955
orx-rayon,16,2e20,stats,70133630
orx-rayon,16,2e20,stats+trace,290198664
orx-rayon,20,2e16,stats,3697130
orx-rayon,20,2e16,stats+trace,14899477
orx-rayon,20,2e20,stats,69405231
orx-rayon,20,2e20,stats+trace,291626290
orx-rayon,24,2e16,stats,3775606
orx-rayon,24,2e16,stats+trace,15386119
orx-rayon,24,2e20,stats,68291707
orx-rayon,24,2e20,stats+trace,275440962
orx-rayon,28,2e16,stats,4037154
orx-rayon,28,2e16,stats+trace,15758793
orx-rayon,28,2e20,stats,66958706
orx-rayon,28,2e20,stats+trace,270892758
orx-rayon,32,2e16,stats,4134735
orx-rayon,32,2e16,stats+trace,14255177
orx-rayon,32,2e20,stats,63463495
orx-rayon,32,2e20,stats+trace,238209511
rayon,4,2e16,stats,6630409
rayon,4,2e16,stats+trace,17922419
rayon,4,2e20,stats,103065362
rayon,4,2e20,stats+trace,261142131
rayon,8,2e16,stats,4017616
rayon,8,2e16,stats+trace,14883918
rayon,8,2e20,stats,66612113
rayon,8,2e20,stats+trace,192058343
rayon,16,2e16,stats,3397660
rayon,16,2e16,stats+trace,36867796
rayon,16,2e20,stats,53492845
rayon,16,2e20,stats+trace,194475682
rayon,20,2e16,stats,5052761
rayon,20,2e16,stats+trace,54040279
rayon,20,2e20,stats,53556424
rayon,20,2e20,stats+trace,197788784
rayon,24,2e16,stats,7038829
rayon,24,2e16,stats+trace,69056268
rayon,24,2e20,stats,51844492
rayon,24,2e20,stats+trace,216020394
rayon,28,2e16,stats,11261024
rayon,28,2e16,stats+trace,81391531
rayon,28,2e20,stats,55144722
rayon,28,2e20,stats+trace,243263714
rayon,32,2e16,stats,13021959
rayon,32,2e16,stats+trace,146511515
rayon,32,2e20,stats,54986190
rayon,32,2e20,stats+trace,396920447
