method,num_threads,n,task,time (ns)
seq,4,2e16,light,400755
seq,4,2e16,heavy,1218320
seq,4,2e20,light,7858545
seq,4,2e20,heavy,21512545
seq,8,2e16,light,384795
seq,8,2e16,heavy,1168411
seq,8,2e20,light,7545637
seq,8,2e20,heavy,20579758
seq,16,2e16,light,384093
seq,16,2e16,heavy,1105705
seq,16,2e20,light,7399682
seq,16,2e20,heavy,20124626
seq,20,2e16,light,359155
seq,20,2e16,heavy,1085994
seq,20,2e20,light,7210497
seq,20,2e20,heavy,19724432
seq,24,2e16,light,373417
seq,24,2e16,heavy,1089911
seq,24,2e20,light,7222120
seq,24,2e20,heavy,19573097
seq,28,2e16,light,360946
seq,28,2e16,heavy,1091141
seq,28,2e20,light,7227208
seq,28,2e20,heavy,19417200
seq,32,2e16,light,366989
seq,32,2e16,heavy,1060599
seq,32,2e20,light,7136044
seq,32,2e20,heavy,19514883
orx-once,4,2e16,light,329228
orx-once,4,2e16,heavy,505503
orx-once,4,2e20,light,3742250
orx-once,4,2e20,heavy,6733549
orx-once,8,2e16,light,506099
orx-once,8,2e16,heavy,569842
orx-once,8,2e20,light,2039858
orx-once,8,2e20,heavy,4254726
orx-once,16,2e16,light,760019
orx-once,16,2e16,heavy,874247
orx-once,16,2e20,light,2012798
orx-once,16,2e20,heavy,3063153
orx-once,20,2e16,light,980713
orx-once,20,2e16,heavy,1000508
orx-once,20,2e20,light,2152765
orx-once,20,2e20,heavy,2808978
orx-once,24,2e16,light,1008570
orx-once,24,2e16,heavy,1161470
orx-once,24,2e20,light,2383304
orx-once,24,2e20,heavy,3099673
orx-once,28,2e16,light,1139845
orx-once,28,2e16,heavy,1357570
orx-once,28,2e20,light,2617148
orx-once,28,2e20,heavy,3629408
orx-once,32,2e16,light,1324601
orx-once,32,2e16,heavy,1507445
orx-once,32,2e20,light,3033170
orx-once,32,2e20,heavy,3933449
orx-basic,4,2e16,light,167542
orx-basic,4,2e16,heavy,400955
orx-basic,4,2e20,light,2800344
orx-basic,4,2e20,heavy,6291908
orx-basic,8,2e16,light,187805
orx-basic,8,2e16,heavy,301529
orx-basic,8,2e20,light,1882373
orx-basic,8,2e20,heavy,5015683
orx-basic,16,2e16,light,227571
orx-basic,16,2e16,heavy,345569
orx-basic,16,2e20,light,1615471
orx-basic,16,2e20,heavy,2729100
orx-basic,20,2e16,light,240637
orx-basic,20,2e16,heavy,356361
orx-basic,20,2e20,light,2496267
orx-basic,20,2e20,heavy,2459293
orx-basic,24,2e16,light,400336
orx-basic,24,2e16,heavy,436940
orx-basic,24,2e20,light,2523606
orx-basic,24,2e20,heavy,2481215
orx-basic,28,2e16,light,531625
orx-basic,28,2e16,heavy,527870
orx-basic,28,2e20,light,2454515
orx-basic,28,2e20,heavy,2325016
orx-basic,32,2e16,light,473348
orx-basic,32,2e16,heavy,532925
orx-basic,32,2e20,light,2580524
orx-basic,32,2e20,heavy,2365121
orx-rayon,4,2e16,light,313059
orx-rayon,4,2e16,heavy,483173
orx-rayon,4,2e20,light,3033784
orx-rayon,4,2e20,heavy,6940313
orx-rayon,8,2e16,light,503687
orx-rayon,8,2e16,heavy,535339
orx-rayon,8,2e20,light,2106307
orx-rayon,8,2e20,heavy,4458736
orx-rayon,16,2e16,light,618160
orx-rayon,16,2e16,heavy,727173
orx-rayon,16,2e20,light,1913464
orx-rayon,16,2e20,heavy,3244157
orx-rayon,20,2e16,light,984096
orx-rayon,20,2e16,heavy,984095
orx-rayon,20,2e20,light,2158600
orx-rayon,20,2e20,heavy,3318324
orx-rayon,24,2e16,light,1054310
orx-rayon,24,2e16,heavy,1132771
orx-rayon,24,2e20,light,2277427
orx-rayon,24,2e20,heavy,3379950
orx-rayon,28,2e16,light,1300390
orx-rayon,28,2e16,heavy,1312795
orx-rayon,28,2e20,light,2544852
orx-rayon,28,2e20,heavy,3412202
orx-rayon,32,2e16,light,1338618
orx-rayon,32,2e16,heavy,1583867
orx-rayon,32,2e20,light,2982585
orx-rayon,32,2e20,heavy,3877251
rayon,4,2e16,light,311477
rayon,4,2e16,heavy,612342
rayon,4,2e20,light,3520414
rayon,4,2e20,heavy,7853126
rayon,8,2e16,light,1410648
rayon,8,2e16,heavy,1621978
rayon,8,2e20,light,2728675
rayon,8,2e20,heavy,5387071
rayon,16,2e16,light,3505228
rayon,16,2e16,heavy,3695294
rayon,16,2e20,light,5674036
rayon,16,2e20,heavy,4778219
rayon,20,2e16,light,4718470
rayon,20,2e16,heavy,5076064
rayon,20,2e20,light,8751861
rayon,20,2e20,heavy,8083334
rayon,24,2e16,light,6202044
rayon,24,2e16,heavy,6638000
rayon,24,2e20,light,11124585
rayon,24,2e20,heavy,8618352
rayon,28,2e16,light,7894583
rayon,28,2e16,heavy,8127965
rayon,28,2e20,light,14243690
rayon,28,2e20,heavy,13317401
rayon,32,2e16,light,9144343
rayon,32,2e16,heavy,9794351
rayon,32,2e20,light,16946026
rayon,32,2e20,heavy,13472415
