method,num_threads,n,task,time (ns)
seq,4,2e16,light,744421
seq,4,2e16,heavy,1660594
seq,4,2e20,light,12821824
seq,4,2e20,heavy,27453833
seq,8,2e16,light,687449
seq,8,2e16,heavy,1527602
seq,8,2e20,light,11908481
seq,8,2e20,heavy,25513834
seq,16,2e16,light,602079
seq,16,2e16,heavy,1469163
seq,16,2e20,light,11642869
seq,16,2e20,heavy,25106440
seq,20,2e16,light,637230
seq,20,2e16,heavy,1390267
seq,20,2e20,light,11464270
seq,20,2e20,heavy,24471319
seq,24,2e16,light,613758
seq,24,2e16,heavy,1454900
seq,24,2e20,light,10991053
seq,24,2e20,heavy,23875690
seq,28,2e16,light,641023
seq,28,2e16,heavy,1430623
seq,28,2e20,light,11356908
seq,28,2e20,heavy,24216820
seq,32,2e16,light,594042
seq,32,2e16,heavy,1412402
seq,32,2e20,light,11071568
seq,32,2e20,heavy,23919415
orx-once,4,2e16,light,355381
orx-once,4,2e16,heavy,602526
orx-once,4,2e20,light,3424784
orx-once,4,2e20,heavy,7469402
orx-once,8,2e16,light,484820
orx-once,8,2e16,heavy,645203
orx-once,8,2e20,light,2294381
orx-once,8,2e20,heavy,4869007
orx-once,16,2e16,light,887217
orx-once,16,2e16,heavy,1036989
orx-once,16,2e20,light,2145333
orx-once,16,2e20,heavy,3474305
orx-once,20,2e16,light,1143088
orx-once,20,2e16,heavy,1243922
orx-once,20,2e20,light,2291431
orx-once,20,2e20,heavy,3759646
orx-once,24,2e16,light,1327993
orx-once,24,2e16,heavy,1587342
orx-once,24,2e20,light,2769785
orx-once,24,2e20,heavy,4025080
orx-once,28,2e16,light,1492414
orx-once,28,2e16,heavy,1791491
orx-once,28,2e20,light,2979248
orx-once,28,2e20,heavy,4388065
orx-once,32,2e16,light,1764791
orx-once,32,2e16,heavy,1954873
orx-once,32,2e20,light,3394512
orx-once,32,2e20,heavy,4376749
orx-basic,4,2e16,light,359723
orx-basic,4,2e16,heavy,520748
orx-basic,4,2e20,light,3682357
orx-basic,4,2e20,heavy,7979126
orx-basic,8,2e16,light,255511
orx-basic,8,2e16,heavy,432640
orx-basic,8,2e20,light,2168772
orx-basic,8,2e20,heavy,4920407
orx-basic,16,2e16,light,225496
orx-basic,16,2e16,heavy,341836
orx-basic,16,2e20,light,1390151
orx-basic,16,2e20,heavy,3024625
orx-basic,20,2e16,light,268223
orx-basic,20,2e16,heavy,457748
orx-basic,20,2e20,light,1281060
orx-basic,20,2e20,heavy,2546239
orx-basic,24,2e16,light,341279
orx-basic,24,2e16,heavy,383690
orx-basic,24,2e20,light,1311948
orx-basic,24,2e20,heavy,2266431
orx-basic,28,2e16,light,384801
orx-basic,28,2e16,heavy,452229
orx-basic,28,2e20,light,1281248
orx-basic,28,2e20,heavy,2415266
orx-basic,32,2e16,light,424280
orx-basic,32,2e16,heavy,541773
orx-basic,32,2e20,light,1261960
orx-basic,32,2e20,heavy,2347255
orx-rayon,4,2e16,light,481243
orx-rayon,4,2e16,heavy,570037
orx-rayon,4,2e20,light,3798664
orx-rayon,4,2e20,heavy,7903818
orx-rayon,8,2e16,light,424960
orx-rayon,8,2e16,heavy,559401
orx-rayon,8,2e20,light,2336929
orx-rayon,8,2e20,heavy,5153238
orx-rayon,16,2e16,light,699220
orx-rayon,16,2e16,heavy,763437
orx-rayon,16,2e20,light,2066961
orx-rayon,16,2e20,heavy,3347460
orx-rayon,20,2e16,light,913846
orx-rayon,20,2e16,heavy,934240
orx-rayon,20,2e20,light,2097557
orx-rayon,20,2e20,heavy,3349840
orx-rayon,24,2e16,light,1164449
orx-rayon,24,2e16,heavy,1257664
orx-rayon,24,2e20,light,2261301
orx-rayon,24,2e20,heavy,3243839
orx-rayon,28,2e16,light,1336139
orx-rayon,28,2e16,heavy,1450961
orx-rayon,28,2e20,light,2546168
orx-rayon,28,2e20,heavy,3362120
orx-rayon,32,2e16,light,1362639
orx-rayon,32,2e16,heavy,1619340
orx-rayon,32,2e20,light,2771691
orx-rayon,32,2e20,heavy,3619503
rayon,4,2e16,light,587679
rayon,4,2e16,heavy,651549
rayon,4,2e20,light,4604519
rayon,4,2e20,heavy,8944858
rayon,8,2e16,light,1554087
rayon,8,2e16,heavy,617937
rayon,8,2e20,light,2903847
rayon,8,2e20,heavy,5475391
rayon,16,2e16,light,3387640
rayon,16,2e16,heavy,3438977
rayon,16,2e20,light,4672256
rayon,16,2e20,heavy,4203704
rayon,20,2e16,light,4695301
rayon,20,2e16,heavy,4737739
rayon,20,2e20,light,7689590
rayon,20,2e20,heavy,4046169
rayon,24,2e16,light,5945635
rayon,24,2e16,heavy,6165135
rayon,24,2e20,light,10948988
rayon,24,2e20,heavy,6282206
rayon,28,2e16,light,8055026
rayon,28,2e16,heavy,8422909
rayon,28,2e20,light,12916370
rayon,28,2e20,heavy,11141784
rayon,32,2e16,light,9854470
rayon,32,2e16,heavy,9793742
rayon,32,2e20,light,9019541
rayon,32,2e20,heavy,11538765
