t,i,a,n,task,method,time (ns)
1,1,1,2e16,light,seq,721169
2,1,2,2e16,light,rayon-1,879169
3,1,3,2e16,light,orx-1,647948
4,1,4,2e16,light,orx-fixed-1,654423
5,1,5,2e16,light,rayon-4,589436
6,1,6,2e16,light,orx-4,440304
7,1,7,2e16,light,orx-fixed-4,471242
8,1,8,2e16,light,rayon-16,5673744
9,1,9,2e16,light,orx-16,1294458
10,1,10,2e16,light,orx-fixed-16,1262989
11,2,1,2e16,heavy,seq,1332852
12,2,2,2e16,heavy,rayon-1,1441187
13,2,3,2e16,heavy,orx-1,1158914
14,2,4,2e16,heavy,orx-fixed-1,1131896
15,2,5,2e16,heavy,rayon-4,781757
16,2,6,2e16,heavy,orx-4,615857
17,2,7,2e16,heavy,orx-fixed-4,610136
18,2,8,2e16,heavy,rayon-16,5319951
19,2,9,2e16,heavy,orx-16,1398354
20,2,10,2e16,heavy,orx-fixed-16,1436863
21,3,1,2e20,light,seq,12956037
22,3,2,2e20,light,rayon-1,13528437
23,3,3,2e20,light,orx-1,11709520
24,3,4,2e20,light,orx-fixed-1,11609612
25,3,5,2e20,light,rayon-4,4635648
26,3,6,2e20,light,orx-4,4050474
27,3,7,2e20,light,orx-fixed-4,3851254
28,3,8,2e20,light,rayon-16,5603189
29,3,9,2e20,light,orx-16,3177399
30,3,10,2e20,light,orx-fixed-16,2858401
31,4,1,2e20,heavy,seq,22816765
32,4,2,2e20,heavy,rayon-1,21885190
33,4,3,2e20,heavy,orx-1,19305024
34,4,4,2e20,heavy,orx-fixed-1,18894798
35,4,5,2e20,heavy,rayon-4,6642609
36,4,6,2e20,heavy,orx-4,6301769
37,4,7,2e20,heavy,orx-fixed-4,6134761
38,4,8,2e20,heavy,rayon-16,6688962
39,4,9,2e20,heavy,orx-16,4447600
40,4,10,2e20,heavy,orx-fixed-16,3834806
